,feature_importance
embed1_1,0.030463744624708255
embed1_2,0.12381956316864523
embed1_3,0.0239452781337771
embed1_4,0.009986802919013363
embed1_5,0.021996849862471603
embed1_6,0.02609490495417068
embed1_7,0.15123307479451076
embed1_8,0.010197261874872202
embed1_9,0.010881835243741042
embed1_10,0.01347941702231055
embed1_11,0.009400131431735582
embed1_12,0.004614212341535136
embed1_13,0.03361608204873149
embed1_14,0.06729886633281065
embed1_15,0.1166894128054159
embed1_16,0.043215525531555735
embed1_17,0.01734644300722112
embed1_18,0.13613490641552545
embed1_19,0.021591098868189256
embed1_20,0.024377410815311747
embed1_21,0.03028897380377609
embed1_22,0.019661454701311743
embed1_23,1.3462581658701342
embed1_24,0.04925067210931013
embed1_25,0.01912318815832576
embed1_26,0.013995232731838399
embed1_27,0.26479948046568896
embed1_28,0.012846545325732294
embed1_29,0.008270060204486156
embed1_30,0.02727765816667116
embed1_31,0.02116247072601482
embed1_32,0.10073732324948537
embed1_33,0.14604295944747814
embed1_34,0.031143938644077662
embed1_35,0.006263335731722084
embed1_36,0.02757308343465114
embed1_37,0.013050461952529985
embed1_38,0.04592092267572552
embed1_39,0.029326704680329642
embed1_40,0.005431396990252652
embed1_41,0.029943298627341474
embed1_42,0.2395367427366542
embed1_43,0.008930615754965354
embed1_44,0.015022366545105243
embed1_45,0.014331947091573753
embed1_46,0.007189682892525671
embed1_47,0.00980182729629506
embed1_48,0.004416540814920032
embed1_49,0.010275715703967798
embed1_50,0.012702772137361058
embed1_51,0.009069217147533146
embed1_52,0.07432283354007786
embed1_53,0.11170518215490713
embed1_54,0.039498114636818904
embed1_55,0.013523024838460304
embed1_56,0.01023370721757306
embed1_57,0.020676730693782785
embed1_58,0.07311470644482014
embed1_59,0.08182540282694645
embed1_60,0.009814500328224047
embed1_61,0.010273310623509613
embed1_62,0.19667606657965864
embed1_63,0.009780266774924894
embed1_64,0.06653912776114704
embed2_1,0.02243811974794622
embed2_2,0.005472967059605989
embed2_3,0.007917222199669647
embed2_4,0.0059133630432966645
embed2_5,0.006169849098130864
embed2_6,0.005474657319150018
embed2_7,0.007245076158433659
embed2_8,0.006825824699362921
embed2_9,0.0032241741344137685
embed2_10,0.00431645294202968
embed2_11,0.00870051518947456
embed2_12,0.00601258788926495
embed2_13,0.011754024152688938
embed2_14,0.006356752679370907
embed2_15,0.006798356580334404
embed2_16,0.005632435568007062
embed2_17,0.007702263314354321
embed2_18,0.12563694325900288
embed2_19,0.0034517043649956764
embed2_20,0.00513294971651567
embed2_21,0.005619134111731251
embed2_22,0.010633191550181928
embed2_23,0.08159989146646823
embed2_24,0.01017122919453617
embed2_25,0.003107991613154786
embed2_26,0.0082794820474737
embed2_27,0.008980180007902797
embed2_28,0.008099415684169607
embed2_29,0.004535096416428712
embed2_30,0.006749994121844445
embed2_31,0.00395798121392434
embed2_32,0.08452611215155932
embed2_33,0.009813705144078642
embed2_34,0.008158110896259061
embed2_35,0.004834095687373547
embed2_36,0.008175284996751773
embed2_37,0.009748733682145513
embed2_38,0.007134579461178387
embed2_39,0.021759651129471296
embed2_40,0.006148167653345077
embed2_41,0.005591040430753475
embed2_42,0.012494162962554097
embed2_43,0.003659614562448115
embed2_44,0.004965862868535058
embed2_45,0.0029499636476099877
embed2_46,0.004365650577428452
embed2_47,0.004343049441998982
embed2_48,0.008579578880925042
embed2_49,0.005011803518294894
embed2_50,0.010099198584117128
embed2_51,0.003941974992446702
embed2_52,0.010205836154531673
embed2_53,0.006324312121318668
embed2_54,0.01559321543043316
embed2_55,0.006439924652452467
embed2_56,0.005259447388212511
embed2_57,0.004513340505099709
embed2_58,0.02521342877414656
embed2_59,0.03210827207592708
embed2_60,0.0062822602652366985
embed2_61,0.007357111068354568
embed2_62,0.02090239751148254
embed2_63,0.00403380045763573
embed2_64,0.02154593334714112
context_1,0.0
context_2,0.0
context_3,0.0
context_4,0.0
