,feature_importance
embed1_1,0.28296312373185695
embed1_2,0.46683938659198315
embed1_3,0.2592304024512363
embed1_4,0.15685545298488676
embed1_5,0.3521597913482982
embed1_6,0.9816750693289535
embed1_7,0.44496895887007976
embed1_8,0.09968328300959199
embed1_9,0.12727135336126605
embed1_10,0.1987705539848373
embed1_11,0.10678359108656252
embed1_12,0.08195633280282186
embed1_13,1.0003261753150188
embed1_14,0.12233737633184942
embed1_15,2.4773684424298295
embed1_16,0.575572163057538
embed1_17,0.17104237631986133
embed1_18,0.16576076520486377
embed1_19,0.23755786340187188
embed1_20,0.38701768275011383
embed1_21,0.31029104835664906
embed1_22,0.28990329849959395
embed1_23,17.76611766342388
embed1_24,1.9926049423805328
embed1_25,0.16242752250643738
embed1_26,0.09479412494905089
embed1_27,4.166627131929834
embed1_28,0.0928285006554429
embed1_29,0.07766133249980699
embed1_30,0.9722532893802798
embed1_31,0.23995981572977568
embed1_32,1.185092781599838
embed1_33,1.6956709074589085
embed1_34,0.32549496832503055
embed1_35,0.15401895584852826
embed1_36,0.2759889334073519
embed1_37,0.10299816114852493
embed1_38,0.12543481916816757
embed1_39,0.19647996302517906
embed1_40,0.118752318705086
embed1_41,0.45327555256934826
embed1_42,4.212936230041884
embed1_43,0.18281892916726594
embed1_44,0.20584817348309375
embed1_45,0.6053953976783187
embed1_46,0.15429587797658378
embed1_47,0.4850454534582182
embed1_48,0.09518802244154127
embed1_49,0.08064119239273983
embed1_50,0.10282372512859436
embed1_51,0.33697829346831804
embed1_52,0.5809096143543202
embed1_53,0.6689420286416332
embed1_54,0.22218578641526576
embed1_55,0.21318228330319267
embed1_56,0.18041724734373865
embed1_57,0.6917263622875299
embed1_58,3.582504133999592
embed1_59,0.10330315403806135
embed1_60,0.16129866116044134
embed1_61,0.15270644716263754
embed1_62,1.5688222067781934
embed1_63,0.1309518677135349
embed1_64,0.13648583311060983
embed2_1,0.2693435526318869
embed2_2,0.0931630692223184
embed2_3,0.3645308808183878
embed2_4,0.190325875839691
embed2_5,0.16882416434758843
embed2_6,0.20910005524669836
embed2_7,0.2438550466555093
embed2_8,0.3444400932417312
embed2_9,0.09752684904773129
embed2_10,0.178683605344065
embed2_11,0.16947953287002926
embed2_12,0.10494836834488994
embed2_13,0.21501000595761777
embed2_14,0.2422814244207469
embed2_15,0.13545043770603302
embed2_16,0.21342256929160008
embed2_17,0.2205546396366596
embed2_18,4.290853557566993
embed2_19,0.09093843294232747
embed2_20,0.1544931216068535
embed2_21,0.13906874883835002
embed2_22,0.17428889029974248
embed2_23,1.9560792993970988
embed2_24,0.24123096406163105
embed2_25,0.07244129667321134
embed2_26,0.10955202262725174
embed2_27,0.30708190334022595
embed2_28,0.22828643228683979
embed2_29,0.09427898940646186
embed2_30,0.22826759712256414
embed2_31,0.09734483554533668
embed2_32,2.142185218270471
embed2_33,0.15970269270608706
embed2_34,0.16944435017180678
embed2_35,0.1158678017807362
embed2_36,0.2077151436292866
embed2_37,0.405030061254611
embed2_38,0.10955580568784198
embed2_39,0.37540989459988383
embed2_40,0.12218544145261835
embed2_41,0.137522746717073
embed2_42,0.27952359103871627
embed2_43,0.10464943592494712
embed2_44,0.32193158247520787
embed2_45,0.0922987288494333
embed2_46,0.09946716002544033
embed2_47,0.1060595849316713
embed2_48,0.25153185363957603
embed2_49,0.14161670474705948
embed2_50,0.37477010996597737
embed2_51,0.11211735166415325
embed2_52,0.2066710996622208
embed2_53,0.12973809862184194
embed2_54,0.2743612865607699
embed2_55,0.1752500790536032
embed2_56,0.09072896303496801
embed2_57,0.08869454239828937
embed2_58,0.3973773019010458
embed2_59,0.6682287378367967
embed2_60,0.14597482329540243
embed2_61,0.1253460821504377
embed2_62,0.2974801339813832
embed2_63,0.1322268657490866
embed2_64,0.4714815207867768
context_1,2.0585640040060214
context_2,7.352160603107106
context_3,4.795682937490533
context_4,10.766078301017165
