,R2_values
0,0.922
1,0.918
2,0.92
3,0.913
4,0.922
5,0.912
6,0.913
7,0.915
8,0.918
9,0.914
10,0.91
11,0.919
12,0.913
13,0.913
14,0.922
15,0.907
16,0.924
17,0.914
18,0.911
19,0.912
20,0.919
21,0.912
22,0.912
23,0.911
24,0.924
25,0.915
26,0.921
27,0.916
28,0.92
29,0.92
30,0.913
31,0.915
32,0.926
33,0.905
34,0.907
35,0.913
36,0.92
37,0.915
38,0.91
39,0.914
40,0.913
41,0.92
42,0.924
43,0.91
44,0.92
45,0.924
46,0.912
47,0.914
48,0.915
49,0.911
50,0.909
51,0.919
52,0.918
53,0.911
54,0.918
55,0.924
56,0.904
57,0.912
58,0.918
59,0.915
60,0.918
61,0.918
62,0.915
63,0.919
64,0.922
65,0.926
66,0.922
67,0.916
68,0.912
69,0.911
70,0.918
71,0.924
72,0.917
73,0.913
74,0.929
75,0.922
76,0.908
77,0.919
78,0.915
79,0.923
80,0.912
81,0.912
82,0.919
83,0.919
84,0.917
85,0.919
86,0.901
87,0.909
88,0.918
89,0.918
90,0.913
91,0.919
92,0.917
93,0.918
94,0.919
95,0.919
96,0.92
97,0.913
98,0.914
99,0.918
