,feature_importance
embed1_1,0.3688022109236221
embed1_2,0.2989861556153247
embed1_3,0.44315981946083777
embed1_4,0.2416928814410672
embed1_5,0.2293596688365101
embed1_6,2.116236416378914
embed1_7,0.22866455680560566
embed1_8,0.26531588517950555
embed1_9,0.18681590382403776
embed1_10,0.516185625346255
embed1_11,0.3503696054619718
embed1_12,0.1646018278641029
embed1_13,0.8825558877801547
embed1_14,1.1534057025838327
embed1_15,1.1990475405330054
embed1_16,0.2471565919978875
embed1_17,0.34204456219018514
embed1_18,2.761928262829014
embed1_19,0.1801188901977787
embed1_20,0.23445685646454018
embed1_21,0.28296739395802645
embed1_22,0.6554981498934322
embed1_23,11.7336361650143
embed1_24,3.167234225855151
embed1_25,0.13912540686274547
embed1_26,0.2620523045811265
embed1_27,0.542372061184291
embed1_28,0.4815531445481368
embed1_29,0.16268644412039004
embed1_30,0.3025006927349078
embed1_31,0.28295926375408725
embed1_32,4.063883649391074
embed1_33,0.7881968992874387
embed1_34,0.3851945803296945
embed1_35,0.4170572318649188
embed1_36,0.4219731676829763
embed1_37,0.20564408030948003
embed1_38,0.211060223082157
embed1_39,1.3852889319422845
embed1_40,0.19904246247627927
embed1_41,0.27395213979346905
embed1_42,2.582556104729328
embed1_43,0.18372218979975827
embed1_44,0.7490415195024879
embed1_45,0.16398065175465687
embed1_46,0.2149859191381872
embed1_47,0.39310090303851214
embed1_48,0.18884956606488842
embed1_49,0.759480068505402
embed1_50,1.3511526292200322
embed1_51,0.45970210630207653
embed1_52,0.4007728486757698
embed1_53,0.6793430107893527
embed1_54,1.6745213091080637
embed1_55,0.5158087169856254
embed1_56,0.1916971898112055
embed1_57,0.8137115118805655
embed1_58,2.70791260978815
embed1_59,2.580721143164828
embed1_60,0.16161056695347426
embed1_61,0.8706229118916683
embed1_62,0.3595952971729106
embed1_63,0.25087489614586606
embed1_64,0.23804576258058904
embed2_1,0.8036742890620422
embed2_2,0.23967316166023403
embed2_3,0.3610802517298761
embed2_4,0.3176723139019309
embed2_5,0.5177782635372593
embed2_6,0.2991116782239926
embed2_7,1.1637249658368796
embed2_8,2.1119580552727713
embed2_9,0.23963750290461264
embed2_10,0.3869090851982079
embed2_11,0.3617598037252305
embed2_12,0.2848457605650324
embed2_13,0.27194401186197537
embed2_14,0.4590939331815858
embed2_15,0.26614979640934544
embed2_16,0.34723484628512097
embed2_17,0.44856481544509774
embed2_18,8.614933172112403
embed2_19,0.16260391441004307
embed2_20,0.5624176055953412
embed2_21,0.23095798104504386
embed2_22,0.411243772323291
embed2_23,5.592838968902679
embed2_24,0.508059779915375
embed2_25,0.1973026826576892
embed2_26,0.2588060125608675
embed2_27,0.44411924647585344
embed2_28,0.4654888162406546
embed2_29,0.26890898245845485
embed2_30,0.6262556452990065
embed2_31,0.22348749338323345
embed2_32,1.0257700517839352
embed2_33,0.27524410618360223
embed2_34,0.32575334223700686
embed2_35,0.2120999218370507
embed2_36,0.46081995281767935
embed2_37,0.4654661781387654
embed2_38,0.2447902316279092
embed2_39,0.39099421438656373
embed2_40,0.27701714646987186
embed2_41,0.2800343093308252
embed2_42,0.32272296748705953
embed2_43,0.1930963487893114
embed2_44,0.669762439647184
embed2_45,0.18723058688735209
embed2_46,0.2088410776253134
embed2_47,0.20812117100636263
embed2_48,0.4182377773666143
embed2_49,0.3750971412191699
embed2_50,0.6049371443654117
embed2_51,0.24698914425383808
embed2_52,0.4578403305457535
embed2_53,0.2906530768708265
embed2_54,0.7255776652583539
embed2_55,0.3091149879044484
embed2_56,0.17651807083584736
embed2_57,0.18336917686875837
embed2_58,1.2989152394299996
embed2_59,2.145587778375153
embed2_60,0.25553448982677607
embed2_61,0.26057898303740945
embed2_62,0.7155860990279989
embed2_63,0.20102665538752496
embed2_64,0.8718426816052789
context_1,0.0
context_2,0.0
context_3,0.0
context_4,0.0
