,R2_values
0,0.816
1,0.788
2,0.81
3,0.849
4,0.823
5,0.834
6,0.843
7,0.832
8,0.817
9,0.786
10,0.799
11,0.801
12,0.792
13,0.81
14,0.831
15,0.812
16,0.824
17,0.819
18,0.808
19,0.827
20,0.788
21,0.812
22,0.812
23,0.824
24,0.797
25,0.775
26,0.828
27,0.791
28,0.848
29,0.851
30,0.833
31,0.826
32,0.809
33,0.835
34,0.811
35,0.822
36,0.828
37,0.803
38,0.799
39,0.794
40,0.826
41,0.796
42,0.815
43,0.801
44,0.841
45,0.828
46,0.818
47,0.818
48,0.819
49,0.833
50,0.817
51,0.826
52,0.815
53,0.814
54,0.851
55,0.796
56,0.781
57,0.805
58,0.851
59,0.816
60,0.819
61,0.814
62,0.778
63,0.829
64,0.838
65,0.802
66,0.818
67,0.83
68,0.791
69,0.803
70,0.801
71,0.815
72,0.827
73,0.818
74,0.813
75,0.823
76,0.835
77,0.812
78,0.793
79,0.775
80,0.815
81,0.819
82,0.82
83,0.813
84,0.809
85,0.801
86,0.749
87,0.812
88,0.792
89,0.791
90,0.808
91,0.829
92,0.839
93,0.84
94,0.826
95,0.83
96,0.804
97,0.85
98,0.813
99,0.829
