,feature_importance
embed1_1,0.1662498544233258
embed1_2,0.14525834150464448
embed1_3,0.49058106502427834
embed1_4,0.2181854290289669
embed1_5,0.17074440763120166
embed1_6,0.20963649216562788
embed1_7,0.17632634295174368
embed1_8,0.09863350162859821
embed1_9,0.17144092042038545
embed1_10,0.164045820187707
embed1_11,0.614917359304681
embed1_12,0.27404484768726567
embed1_13,0.20247224396799227
embed1_14,0.18486724629288906
embed1_15,0.3264210705180786
embed1_16,0.25921910452347263
embed1_17,0.20918229890473414
embed1_18,0.43274297902133185
embed1_19,0.10971573236950408
embed1_20,0.15533595503418057
embed1_21,0.1896890569509765
embed1_22,0.19522552959069558
embed1_23,0.24773722683261187
embed1_24,0.17681829006343788
embed1_25,0.08557916347338648
embed1_26,0.1886314181073046
embed1_27,0.1963427637725227
embed1_28,0.2367392734879963
embed1_29,0.10921672398592909
embed1_30,0.11816662328826193
embed1_31,0.1369783954379303
embed1_32,0.1531284845268299
embed1_33,0.11600880396713671
embed1_34,0.49575626457121236
embed1_35,0.24332584749862968
embed1_36,0.18695055845006117
embed1_37,0.171434342428335
embed1_38,0.0984509517838392
embed1_39,0.18482923542940333
embed1_40,0.17725546447592053
embed1_41,0.17174060979272496
embed1_42,0.12941734107425312
embed1_43,0.13711665049193408
embed1_44,0.21537500123818332
embed1_45,0.19606508991618674
embed1_46,0.17824642729118323
embed1_47,0.13682232737033376
embed1_48,0.18205098067723974
embed1_49,0.15837885037644367
embed1_50,0.16744004311556832
embed1_51,0.15949608646539484
embed1_52,0.2401263459230513
embed1_53,0.27236412835893087
embed1_54,0.2312316822111063
embed1_55,0.29211734391221295
embed1_56,0.11602728313069349
embed1_57,0.20382307309788325
embed1_58,0.25756828605906606
embed1_59,0.17756195509233522
embed1_60,0.25815264753153544
embed1_61,0.18531417431733274
embed1_62,0.45691931950697173
embed1_63,0.1114328044909625
embed1_64,0.20684321050319593
embed2_1,0.1043618501724263
embed2_2,0.18796166514656856
embed2_3,4.662879477746694
embed2_4,0.2336159671356494
embed2_5,0.10250571451762475
embed2_6,0.17444970990011163
embed2_7,0.3308936513319035
embed2_8,0.18321230256207974
embed2_9,0.11826227162993531
embed2_10,0.16291786306726064
embed2_11,0.19740058176873687
embed2_12,0.17039790547152942
embed2_13,0.14975109601772832
embed2_14,0.2318475450968608
embed2_15,0.2902969965800674
embed2_16,0.16098483552820722
embed2_17,0.7742445278939404
embed2_18,23.972274613710873
embed2_19,0.1260327362924573
embed2_20,0.23118075234236032
embed2_21,0.2762815652777204
embed2_22,0.14146626104338508
embed2_23,10.804160711408455
embed2_24,5.791261318502274
embed2_25,0.07793089643632986
embed2_26,0.0933328014030631
embed2_27,0.3063144086677649
embed2_28,0.21109852076418711
embed2_29,0.18690411301907342
embed2_30,0.35933999826447943
embed2_31,0.09789742429346916
embed2_32,23.14241444876348
embed2_33,2.880216518167496
embed2_34,0.21035454521120298
embed2_35,0.12323419111104914
embed2_36,0.24116809135034492
embed2_37,2.0332490970985635
embed2_38,0.12956302160577238
embed2_39,0.5936509357805582
embed2_40,0.1334884993773788
embed2_41,0.1220585288229328
embed2_42,0.33462020476413623
embed2_43,0.13264732346645133
embed2_44,0.9240232521705004
embed2_45,0.11545555811089711
embed2_46,0.22161823642524264
embed2_47,0.14556057040862438
embed2_48,0.27968165535511524
embed2_49,0.15732509828337357
embed2_50,0.6870424143321315
embed2_51,0.12668691547597122
embed2_52,0.19117094137025564
embed2_53,0.15345833127885075
embed2_54,0.1597160154918864
embed2_55,0.24381980425675784
embed2_56,0.08724026789293929
embed2_57,0.08589809551589338
embed2_58,0.875040351084238
embed2_59,0.27990415524307116
embed2_60,0.13534328001463725
embed2_61,0.16112303806172865
embed2_62,0.15068645816326304
embed2_63,0.2462461032444967
embed2_64,0.2549168766498015
context_1,0.0
context_2,0.0
context_3,0.0
context_4,0.0
