,feature_importance
embed1_1,13.887815854732123
embed1_2,0.21862814673922118
embed1_3,3.5722847329086314
embed1_4,0.15024068292601891
embed1_5,0.19015899135248032
embed1_6,0.4678210588125563
embed1_7,1.966361231976615
embed1_8,0.19676140773499265
embed1_9,0.2754210506930818
embed1_10,2.0160719840162007
embed1_11,1.1334910878953512
embed1_12,0.2502974398151525
embed1_13,0.6309268032929063
embed1_14,0.22182417517396028
embed1_15,0.30014613650035854
embed1_16,2.2145232012144884
embed1_17,0.7362715734779779
embed1_18,0.36919965377302366
embed1_19,0.4967218713443748
embed1_20,4.829298101498651
embed1_21,0.18229404869693394
embed1_22,0.6332782549487195
embed1_23,15.802185435032328
embed1_24,0.23219653208402144
embed1_25,0.23520138821156705
embed1_26,0.4976074320597643
embed1_27,2.7623414271655595
embed1_28,4.674497412123379
embed1_29,0.27629456390075646
embed1_30,0.12673425841223945
embed1_31,0.7715547327182078
embed1_32,1.3113853101897834
embed1_33,1.8999008025795021
embed1_34,0.8375435737428354
embed1_35,0.10790467219448824
embed1_36,0.3260833230006957
embed1_37,0.18439754173651465
embed1_38,2.167257141610483
embed1_39,0.6988649224838752
embed1_40,0.20756967611851382
embed1_41,0.3337547503602087
embed1_42,0.19232709415397511
embed1_43,0.25167912873519066
embed1_44,0.29331961604047757
embed1_45,0.1629830344169666
embed1_46,0.13957216564409108
embed1_47,0.37527864318593906
embed1_48,0.2642642339160886
embed1_49,0.177720982463673
embed1_50,0.6865874122346363
embed1_51,0.38662280162694396
embed1_52,0.5196445024948311
embed1_53,0.21472044685284666
embed1_54,0.21687707545681562
embed1_55,0.3592766425586631
embed1_56,0.18602467207178572
embed1_57,0.20456489253810065
embed1_58,8.616511008384572
embed1_59,0.6763159401494789
embed1_60,9.068716707511202
embed1_61,0.3352830365177189
embed1_62,4.430648558555697
embed1_63,0.9215190121735696
embed1_64,0.36173923211499354
embed2_1,0.039987413041643105
embed2_2,0.02590497279377581
embed2_3,0.05680528253056602
embed2_4,0.041639168275790825
embed2_5,0.029777626218711654
embed2_6,0.02682269235449607
embed2_7,0.07484357902034103
embed2_8,0.022918839957335697
embed2_9,0.030499393499674118
embed2_10,0.03360750171688304
embed2_11,0.047124593879976785
embed2_12,0.038483794752333274
embed2_13,0.07431313114653477
embed2_14,0.052574730853765426
embed2_15,0.04412033671744837
embed2_16,0.028774185239567783
embed2_17,0.05460795238520355
embed2_18,0.07963220394124279
embed2_19,0.014759525385394373
embed2_20,0.029005581536367137
embed2_21,0.04450550120655956
embed2_22,0.04630386510790558
embed2_23,0.0477210106932869
embed2_24,0.03740787925624838
embed2_25,0.01969255172258503
embed2_26,0.039715102059965625
embed2_27,0.0461217821669728
embed2_28,0.056993787291340546
embed2_29,0.019666589180565807
embed2_30,0.035107435553829516
embed2_31,0.026369120138027384
embed2_32,0.02483321296155133
embed2_33,0.025834067755943015
embed2_34,0.0458356092213286
embed2_35,0.03476989891145093
embed2_36,0.07950876646566338
embed2_37,0.027463431643693137
embed2_38,0.024141956848279838
embed2_39,0.06603888239366959
embed2_40,0.038301394769638876
embed2_41,0.04321378198335837
embed2_42,0.035351545713068616
embed2_43,0.02336802270563129
embed2_44,0.03349234336383201
embed2_45,0.015894291244596646
embed2_46,0.023775482705669832
embed2_47,0.023972952386514416
embed2_48,0.03434627097595254
embed2_49,0.025480425716637677
embed2_50,0.04254471552642754
embed2_51,0.04422842175699177
embed2_52,0.06395186579693934
embed2_53,0.045157739921301905
embed2_54,0.04053853057689601
embed2_55,0.04150113644116808
embed2_56,0.02341722487096034
embed2_57,0.029178122531677328
embed2_58,0.038062765635992944
embed2_59,0.03437837258195884
embed2_60,0.07117640089320136
embed2_61,0.0653448458739432
embed2_62,0.05615986478628868
embed2_63,0.02347974922828658
embed2_64,0.05414155114034088
context_1,0.0
context_2,0.0
context_3,0.0
context_4,0.0
