,feature_importance
embed1_1,0.6366706807885871
embed1_2,0.012739350780302132
embed1_3,0.16284912563815157
embed1_4,0.007647197933178904
embed1_5,0.00903585097224689
embed1_6,0.022770741648423153
embed1_7,0.13086663960211978
embed1_8,0.00854490182702186
embed1_9,0.010478220024194601
embed1_10,0.12928286805273886
embed1_11,0.04054739755939344
embed1_12,0.013043700543048733
embed1_13,0.028770539737581147
embed1_14,0.010872676485316856
embed1_15,0.014314579454095535
embed1_16,0.11960760418625498
embed1_17,0.04199300682654689
embed1_18,0.02254771109020938
embed1_19,0.029085368404595094
embed1_20,0.3206484782211282
embed1_21,0.009551308370871633
embed1_22,0.039800277840949756
embed1_23,0.7990713999797328
embed1_24,0.011201058421590086
embed1_25,0.0114464285649694
embed1_26,0.02434201219913685
embed1_27,0.11090311340445948
embed1_28,0.30853635581163485
embed1_29,0.013607318101429879
embed1_30,0.0065808931549469225
embed1_31,0.04352188027996239
embed1_32,0.059739629858126794
embed1_33,0.07813440448157093
embed1_34,0.04061927295611275
embed1_35,0.005751174443513921
embed1_36,0.014985191608118205
embed1_37,0.011143562889382494
embed1_38,0.08514289258757449
embed1_39,0.03039033352896724
embed1_40,0.010890311327106094
embed1_41,0.015097426715710358
embed1_42,0.009670821512226766
embed1_43,0.01152846279829028
embed1_44,0.014633928213201832
embed1_45,0.00929300703053533
embed1_46,0.009331891165773811
embed1_47,0.017325063894710988
embed1_48,0.014036861371855364
embed1_49,0.00836416001130045
embed1_50,0.045455369586290095
embed1_51,0.015262984196258676
embed1_52,0.02487722346036532
embed1_53,0.01083302698231302
embed1_54,0.008649055422092981
embed1_55,0.015055933851834577
embed1_56,0.008711702646230899
embed1_57,0.009211165725212593
embed1_58,0.40400350490794096
embed1_59,0.04224049242215212
embed1_60,0.3983301977852303
embed1_61,0.015155285995706494
embed1_62,0.19780158972171782
embed1_63,0.06171109242991231
embed1_64,0.021822176856712942
embed2_1,0.0020214912410965423
embed2_2,0.001479884092809771
embed2_3,0.002593847695202563
embed2_4,0.00240065901212679
embed2_5,0.0015480801875303902
embed2_6,0.001191293000668253
embed2_7,0.0035052028131902207
embed2_8,0.0011195454979208664
embed2_9,0.0015858315762906205
embed2_10,0.0016730316450315516
embed2_11,0.0020813193774724117
embed2_12,0.001648980626153573
embed2_13,0.0034969011843428346
embed2_14,0.002956852433885168
embed2_15,0.002138261469841868
embed2_16,0.0013958641532654309
embed2_17,0.0029037370242115516
embed2_18,0.004201894537956893
embed2_19,0.000759655755964525
embed2_20,0.0015008094673670787
embed2_21,0.0021128156994729167
embed2_22,0.0022178332128206576
embed2_23,0.002289323337310819
embed2_24,0.0019083793441012826
embed2_25,0.0008778567768371114
embed2_26,0.002083816429379696
embed2_27,0.002217356775666511
embed2_28,0.0026185302526569865
embed2_29,0.0010254113595305316
embed2_30,0.0014485132474430207
embed2_31,0.001250664957883599
embed2_32,0.0012541894986628304
embed2_33,0.0012311021277565473
embed2_34,0.002354682034115094
embed2_35,0.0017740606561498372
embed2_36,0.004393896003102825
embed2_37,0.001502386752221565
embed2_38,0.00119233569029452
embed2_39,0.002943007703798212
embed2_40,0.00189886585211214
embed2_41,0.0021324250170699772
embed2_42,0.001551668160856628
embed2_43,0.0012463254762808199
embed2_44,0.0014973124927586073
embed2_45,0.000735376187935461
embed2_46,0.001085780586403234
embed2_47,0.0011688729133090135
embed2_48,0.0015460587554593107
embed2_49,0.001230907487519556
embed2_50,0.0018450308400323708
embed2_51,0.0021685828981408486
embed2_52,0.0025307590291261434
embed2_53,0.0019628748594772063
embed2_54,0.001735816678425224
embed2_55,0.0021114319424726195
embed2_56,0.0012473994357887668
embed2_57,0.0013718444168536856
embed2_58,0.0018900509215513362
embed2_59,0.0015482186007115878
embed2_60,0.003189501952540591
embed2_61,0.003026367518862086
embed2_62,0.0024118347972568147
embed2_63,0.0011303386498300082
embed2_64,0.0027591655888242112
context_1,0.0
context_2,0.0
context_3,0.0
context_4,0.0
