,R2_values
0,0.958
1,0.97
2,0.962
3,0.973
4,0.964
5,0.974
6,0.965
7,0.971
8,0.97
9,0.969
10,0.972
11,0.974
12,0.973
13,0.972
14,0.973
15,0.967
16,0.97
17,0.971
18,0.966
19,0.966
20,0.963
21,0.965
22,0.966
23,0.96
24,0.968
25,0.969
26,0.975
27,0.969
28,0.971
29,0.968
30,0.964
31,0.969
32,0.975
33,0.968
34,0.965
35,0.963
36,0.973
37,0.97
38,0.973
39,0.968
40,0.97
41,0.963
42,0.971
43,0.97
44,0.976
45,0.968
46,0.969
47,0.962
48,0.973
49,0.964
50,0.962
51,0.971
52,0.974
53,0.974
54,0.972
55,0.972
56,0.968
57,0.961
58,0.958
59,0.964
60,0.97
61,0.964
62,0.965
63,0.968
64,0.976
65,0.963
66,0.966
67,0.972
68,0.962
69,0.967
70,0.97
71,0.97
72,0.968
73,0.966
74,0.971
75,0.97
76,0.975
77,0.972
78,0.975
79,0.976
80,0.972
81,0.964
82,0.972
83,0.972
84,0.975
85,0.966
86,0.969
87,0.973
88,0.967
89,0.965
90,0.965
91,0.965
92,0.973
93,0.962
94,0.974
95,0.96
96,0.964
97,0.97
98,0.975
99,0.97
