,R2_values
0,0.835
1,0.825
2,0.816
3,0.858
4,0.855
5,0.856
6,0.874
7,0.824
8,0.833
9,0.833
10,0.833
11,0.735
12,0.833
13,0.809
14,0.83
15,0.824
16,0.801
17,0.848
18,0.809
19,0.833
20,0.852
21,0.82
22,0.815
23,0.825
24,0.809
25,0.749
26,0.827
27,0.815
28,0.826
29,0.855
30,0.839
31,0.853
32,0.842
33,0.817
34,0.849
35,0.835
36,0.868
37,0.798
38,0.837
39,0.828
40,0.808
41,0.844
42,0.831
43,0.833
44,0.836
45,0.843
46,0.826
47,0.82
48,0.802
49,0.811
50,0.795
51,0.843
52,0.82
53,0.854
54,0.863
55,0.828
56,0.808
57,0.87
58,0.852
59,0.828
60,0.868
61,0.799
62,0.833
63,0.809
64,0.819
65,0.833
66,0.796
67,0.863
68,0.836
69,0.819
70,0.825
71,0.841
72,0.85
73,0.816
74,0.829
75,0.817
76,0.802
77,0.815
78,0.839
79,0.829
80,0.855
81,0.86
82,0.828
83,0.863
84,0.816
85,0.814
86,0.805
87,0.79
88,0.759
89,0.839
90,0.829
91,0.837
92,0.891
93,0.885
94,0.83
95,0.798
96,0.814
97,0.833
98,0.853
99,0.848
