,r2_lasso,r2_RF,r2_NN,r2_DT,r2_SVM,r2_lasso_scram,r2_RF_scram,r2_NN_scram,r2_DT_scram_list,r2_SVM_scram_list
86,0.347,0.784,0.556,0.565,0.582,0.206,0.766,0.559,0.475,0.567
87,0.37,0.776,0.523,0.541,0.47,0.244,0.766,0.526,0.448,0.522
88,0.31,0.833,0.535,0.609,0.537,0.207,0.827,0.562,0.486,0.476
89,0.347,0.805,0.565,0.571,0.545,0.203,0.795,0.502,0.541,0.541
90,0.369,0.826,0.556,0.609,0.57,0.237,0.834,0.541,0.581,0.62
91,0.365,0.831,0.582,0.614,0.61,0.218,0.802,0.557,0.495,0.572
92,0.36,0.801,0.582,0.61,0.583,0.205,0.773,0.578,0.481,0.601
93,0.361,0.808,0.509,0.573,0.558,0.249,0.789,0.508,0.442,0.582
94,0.343,0.788,0.508,0.468,0.515,0.216,0.776,0.487,0.419,0.518
95,0.403,0.821,0.597,0.651,0.605,0.243,0.813,0.599,0.526,0.624
96,0.409,0.843,0.596,0.635,0.636,0.229,0.797,0.553,0.528,0.576
97,0.417,0.839,0.595,0.597,0.646,0.246,0.813,0.509,0.491,0.605
98,0.366,0.825,0.566,0.569,0.544,0.248,0.81,0.533,0.495,0.556
99,0.389,0.83,0.623,0.603,0.608,0.243,0.815,0.614,0.563,0.609
