,y_train,y_pred_train
med7_empty_4,0.2862228624913453,0.3877241802429644
srb7_bre2_3,0.3829841973181135,0.46580962487686967
med7_hat1_4,0.2743693011878727,0.3981003445691902
rtt102_lge1_3,0.404354426946411,0.39785873999584853
btt1_hat1_3,0.3183047579940771,0.36877484154111717
cac2_ies5_4,0.2357855968240747,0.3446111024740169
ldb7_hat2_1,0.5571193919759073,0.35624312726033747
eaf5_nhp6a_3,0.35614814837546,0.4040709299508839
pyk1_snf11_4,0.7219370970941341,0.2984422426878772
swc5_ies5_4,0.3580135635129721,0.3392451583394399
pyk1_arp9_3,0.3166533180606924,0.29698891975800534
vp16_esa1_2,0.8905471747078298,0.6691797578025989
gcn5_empty_1,0.3085696148885028,0.38170743955927106
ies5_med7_1,0.5935434104607566,0.44176884853405607
bre2_ada2_3,0.4173060881123026,0.40268741755609483
med7_mig1_1,0.1857270055989786,0.42747247879768024
nut2_nhp10_2,0.6888235677996808,0.5344747270979796
nut2_swd3_3,0.5230296695417156,0.43416547344801504
sus1_cac2_2,0.7204208942776721,0.48100768791812376
srb7_pyk2_3,0.2771933664787776,0.4318821574324699
bre2_nhp6a_4,0.3763669207663253,0.35063697648824277
htl1_ies5_4,0.2666835708704715,0.4367766271062261
eaf5_cac2_2,0.710835388078785,0.4638998399043507
vp16_med7_1,0.8605757159473717,0.6093844597655746
htl1_btt1_1,0.3954722168296561,0.4742959069484679
pyk1_hat1_2,0.1903460468585671,0.3696896644831846
swd3_eaf3_4,0.2718411951699239,0.3610986501101387
spp1_vps71_2,0.3439318694892094,0.41837785948521955
sus1_hmt2_2,0.7402898581597764,0.4564051133225524
hat2_empty_4,0.2724597217699223,0.3723529188988184
nhp10_pyk2_4,0.3528216642030359,0.34353040111290156
pyk2_hst2_1,0.2819848167204054,0.30878076074973143
spp1_mig1_4,0.1963900465403264,0.29796788930252005
pyk1_nut2_3,0.3183870051875912,0.3102108166289939
hmt2_srb7_1,0.2023026031031401,0.2997060666344178
sir2_esa1_3,0.259505646255142,0.381930914555072
gcn5_rtt102_1,0.3144544453571718,0.3989107707218543
sir2_hat2_1,0.2118143188113238,0.3647905815679663
swd3_tdh3_4,0.2018655630916164,0.3180190189381156
empty_spp1_1,0.2307322371849517,0.34423485326933734
swc5_pyk1_4,0.2875771415264372,0.2972383009998867
pyk1_hhf2_3,0.2661182604647068,0.29380594185075326
sus1_htl1_3,0.5830632080933675,0.4499387834824126
hmt2_arp9_1,0.3049508800138887,0.2799235102360376
hst2_nut2_2,0.1698627134821351,0.36767197040819605
ada2_eaf3_4,0.2499022046141702,0.3850212511906245
dpd4_htl1_2,0.2103418575500975,0.4521630969916358
dpd4_hos2_3,0.2300528972648271,0.3540397673947795
cac2_ldb7_4,0.4726355017744984,0.3320648058768826
swd3_sus1_2,0.6998401266153597,0.4596109622974343
nhp6a_ldb7_1,0.3274323283050677,0.3200851056553513
sir2_sus1_4,0.3520305527654736,0.3400741573226022
pyk2_nut2_1,0.307703473008836,0.350645319379815
hos1_hos2_2,0.4798522117295691,0.4693483052481213
med7_hos1_1,0.4032717817991261,0.43562246732965354
arp6_sfh1_4,0.4393204556964745,0.3694341739210782
mig1_gcn5_3,0.3382961611154372,0.32558827631646853
nhp6a_dpd4_4,0.2311866769423833,0.2920598616320761
empty_vps71_4,0.2974905898160402,0.31437995598916785
swd3_sus1_4,0.4389944315028197,0.36014555557195144
rtt102_nhp6a_3,0.3754976025272997,0.3879026287773919
vps71_sfh1_2,0.4394231719489265,0.5132991793161712
bre2_vps71_2,0.5502906901073756,0.4722497094490966
rtt102_arp9_2,0.5721065367162848,0.46172114387074514
bre2_sus1_3,0.3939846628303929,0.3999406625343171
esa1_htl1_1,0.416722588978837,0.4529137140450954
pyk1_hos2_4,0.228135733010399,0.2547970060866374
sus1_empty_4,0.3442169341393572,0.3910380226559579
nhp10_hos1_1,0.2611216490310603,0.4156560643482792
tdh3_ldb7_1,0.2191904908663497,0.3029340530565624
med4_hos1_1,0.7897646538684414,0.4503874173119832
gcn5_swc5_1,0.3696763936215184,0.3996926085237298
nut2_gapdh_4,0.296874770522842,0.3775084140192346
med7_hos1_4,0.2619403486410647,0.39457072421183115
vp16_hat1_1,0.8326464851011391,0.5977819478838007
esa1_eaf3_4,0.3032550542986884,0.40071178334381896
mig1_med7_4,0.4045856115916981,0.3063009344119515
gapdh_btt1_1,0.2028451150697062,0.28888024976206494
bre2_hos1_4,0.2120297133855486,0.35998972779837035
arp9_gapdh_1,0.2146579720228845,0.3517790714729765
pyk1_srb7_3,0.3085057463420919,0.31677147615638546
nhp10_ies5_4,0.2699158491354121,0.3786573950210465
empty_eaf5_2,0.3582778951726844,0.4131490711370257
hos2_srb7_3,0.4568921191043963,0.3989350730589834
eaf5_cdc36_3,0.5314113088400648,0.42277289121763323
pyk1_htl1_2,0.3331896163131033,0.38556729833345366
DAM_pyk2_2,0.3082330683348716,0.42273367541301876
pyk1_cdc36_3,0.4114928156480179,0.30869081000692433
hst2_pyk2_1,0.2233964974735713,0.267315170104289
swc5_bre2_2,0.4516156604395694,0.4375110386011776
hat1_ies5_2,0.3704281138869915,0.4973529974666143
cac2_snf11_3,0.5892301120637928,0.4049525966209217
hos2_swc5_1,0.4686311296959558,0.401048602416355
htl1_med7_4,0.3867824975317451,0.4478556855547694
lge1_vp16_1,0.7262604941091118,0.4512396078480216
nut2_btt1_4,0.4439799309376314,0.4197188603841786
med4_pyk2_3,0.3674161239077542,0.41090871672656554
htl1_lge1_1,0.3817552351313021,0.4743786563417878
nhp10_esa1_3,0.3138806837764357,0.42376505054891334
tdh3_nhp6a_1,0.2003171332428122,0.30207452455297934
htl1_eaf3_3,0.4536268524797698,0.47362758258977045
vp16_arp9_1,0.8357248951744649,0.5918996472341443
hat2_htl1_3,0.4335545894579729,0.4312536797252732
btt1_esa1_1,0.2976850566455881,0.3901637683201172
srb7_gapdh_3,0.1988119102597117,0.4212662417000902
swc5_dpd4_3,0.325407530774675,0.37237232348681276
vp16_ldb7_2,0.8883600665080265,0.6441727683275575
pyk1_DAM_4,0.2816309053224902,0.2549805309980743
esa1_DAM_4,0.3298633637541696,0.3807406103173765
empty_dpd4_2,0.2910340595665374,0.40558406407741004
htl1_rpd3_1,0.4270299893090198,0.43884324745492576
dpd4_mig1_2,0.1396516669779469,0.42460585425203434
med7_ldb7_2,0.4641921007241913,0.4855429081307695
swc5_vps71_2,0.2720772867379533,0.4474520661995764
hmt2_dpd4_4,0.2177036187667273,0.24575772369851517
hos1_bre2_3,0.2823898892923448,0.41728103981314824
dpd4_hos1_1,0.1819864263965518,0.3743421791763472
hmt2_eaf5_4,0.5195575095647549,0.25332273075813083
swc5_swc5_4,0.2840587325349488,0.34633070954444223
nhp10_htl1_2,0.2228058698035414,0.4934769821635677
vp16_ada2_3,0.6396188527306546,0.5958982741663438
