,y_train,y_pred_train
swd3_nut2,0.5820643169292601,0.5300173643128488
eaf3_pyk1,0.2984459916006955,0.2948164284815485
eaf3_eaf3,0.2230183072991892,0.2849033436153925
dpd4_sir2,0.2781950248634391,0.29368148295069174
htl1_cdc36,0.5205845520771505,0.5209911620406545
rtt102_gapdh,0.3625833951209196,0.33504067351218525
med7_med4,0.6762515863342438,0.5907448854736882
eaf5_rpd3,0.607311637178394,0.5263230553596605
pyk1_lge1,0.2401065033426691,0.2818953575133589
vp16_arp6,0.8690715659115977,0.6607686201438301
arp6_lge1,0.3263087182837658,0.357266725888832
hda1_cac2,0.2161546911795217,0.2605064484420107
bre2_sfh1,0.3760050597670418,0.4535718808701386
med4_cac2,0.770249429822184,0.567305540396617
hos1_med7,0.4919854763189856,0.4808860270653728
spp1_mig1,0.1595683468601795,0.2704435340387505
hos1_btt1,0.3481152607708674,0.4019302461904112
med7_arp9,0.4046405222587944,0.4081227568131215
tdh3_cac2,0.2070616896957391,0.2476454261830878
htl1_hst2,0.356286069461136,0.38854663762578207
rpd3_hst2,0.5265669247822612,0.4427568888493926
htl1_dpd4,0.3022493944967647,0.3309579936656988
gapdh_hst2,0.1851849816369311,0.22966934018676402
btt1_gcn5,0.4528330698007554,0.39849913293890443
sus1_htl1,0.6969817762949454,0.6541126607082127
ies5_cac2,0.4287224052383738,0.3619900436867451
rtt102_swd3,0.4791238716392063,0.4416054890762958
srb7_gcn5,0.5365374426551859,0.49663708175678173
esa1_ada2,0.5582147442927292,0.5055302653837694
tdh3_ies5,0.1874800194288575,0.22266647654388458
gcn5_hat2,0.3153871644441613,0.33653338674082744
hos1_lge1,0.3478321385423994,0.4185565331454187
hos2_hst2,0.4918345423530756,0.38332986830608645
hst2_med4,0.2580810458031292,0.32408461366046576
arp6_med4,0.5125907865855196,0.45004467037497425
arp6_nut2,0.4329137914094304,0.4048784102530473
esa1_nhp6a,0.4507398543326377,0.4277018162468816
spp1_lge1,0.230744930618084,0.2839923728749169
sfh1_ldb7,0.7394726003643086,0.6870121157172671
ada2_med4,0.6948686764074803,0.5889473173006625
hst2_spp1,0.2973117986997918,0.2915788870511278
ldb7_gapdh,0.5460845815466238,0.4428055942091891
bre2_dpd4,0.2282987419918404,0.28012172958539494
hos1_htl1,0.4767109054384599,0.4616426006076363
btt1_arp9,0.2786362325864083,0.3173698835432466
spp1_ldb7,0.3191821812791239,0.33762557907913854
hmt2_bre2,0.212974822723081,0.3051480642200185
nut2_hat1,0.5728595496503385,0.5201640483676134
htl1_swc5,0.3671399666439527,0.3759532569747921
btt1_spp1,0.3046034573423647,0.3503322406913885
eaf5_eaf3,0.6181614645908188,0.5218662489883852
cac2_esa1,0.2624223988217904,0.2916492820590724
sir2_hst2,0.2402692500596175,0.2615541145988636
esa1_sfh1,0.5168268691125135,0.4915867233504101
spp1_med7,0.2778509957046501,0.3176330501483967
dpd4_hos2,0.164626602562547,0.2757169145137266
swc5_ldb7,0.3905506714070684,0.39642708482755395
hos2_hos2,0.5388716753398493,0.464342037061886
swd3_gapdh,0.3953520321740422,0.38153962937012553
ies5_med7,0.5935434104607566,0.5470554139758215
bre2_hat1,0.282473616617383,0.2978183463861608
ada2_arp6,0.653970676041112,0.4951262240143979
vps71_rpd3,0.2559160095703189,0.3108916879506064
nhp6a_sus1,0.2115129442455907,0.31463218505678126
gcn5_DAM,0.2872746316061872,0.3153817106261021
mig1_bre2,0.1734283606641141,0.1936291620293857
sir2_arp6,0.2325220716556752,0.26780391491131916
swc5_gapdh,0.2253569394756484,0.2873068266334817
btt1_pyk1,0.2449702966938347,0.23662140415232336
ldb7_cdc36,0.6915140339081185,0.5844225793777527
eaf3_btt1,0.3894904714916023,0.35759297109357113
hda1_nut2,0.2251818109345946,0.2925445972978988
snf11_med7,0.7485872161521494,0.7323851239784095
eaf5_sus1,0.6561220011025388,0.6356518658051442
srb7_cdc36,0.5352399513594399,0.513410363692331
ies5_sfh1,0.4932675115681406,0.5188947509671352
mig1_eaf3,0.1595841297814364,0.1847907781547276
gapdh_nhp6a,0.2314354790997932,0.2549789301145795
eaf5_nhp6a,0.5882468618904049,0.5044176554747737
vp16_nhp10,0.8263268611045849,0.6726622049237527
vps71_cac2,0.2129076455540917,0.2747674718327349
arp6_vps71,0.3959310682171821,0.3784710386072227
htl1_hhf2,0.3437830772804983,0.3460005571875059
pyk1_srb7,0.244656650842567,0.2581394413047137
pyk1_bre2,0.2568177992808641,0.31278691844822926
ies5_gcn5,0.4762899401524528,0.430808758322182
dpd4_mig1,0.1499087078461966,0.18626549438652135
pyk2_eaf3,0.2471911333913999,0.2768938599959213
sus1_nhp10,0.2705987026781838,0.3264541856967773
bre2_esa1,0.277229680599091,0.3007482113551555
srb7_nhp10,0.2433629275924803,0.3219678689696787
