,param_fs__threshold,param_clf__alpha,mean_test_score
0,0.001,0.0001,0.7570293268822681
1,0.10200000000000001,0.0001,0.7661785926491808
2,0.203,0.0001,0.7638994991936168
3,0.30400000000000005,0.0001,0.7676523639758933
4,0.405,0.0001,0.7679834054834054
5,0.506,0.0001,0.7756451065274594
6,0.6070000000000001,0.0001,0.7732026143790849
7,0.7080000000000001,0.0001,0.7720503352856294
8,0.809,0.0001,0.7712354638825227
9,0.91,0.0001,0.7699219081572023
10,1.011,0.0001,0.770575502928444
11,1.1119999999999999,0.0001,0.7713978015448604
12,1.213,0.0001,0.7741617859264919
13,1.314,0.0001,0.7756366182836771
14,1.415,0.0001,0.7728524743230626
15,1.516,0.0001,0.7829916815210932
16,1.617,0.0001,0.7787390713861302
17,1.718,0.0001,0.7945717681011799
18,1.819,0.0001,0.7962099991511756
19,1.92,0.0001,0.7957028265851795
20,2.021,0.0001,0.7870490620490621
21,2.122,0.0001,0.7857482386894151
22,2.223,0.0001,0.7823380867498515
23,2.324,0.0001,0.7793905440964265
24,2.4250000000000003,0.0001,0.7790658687717511
25,2.5260000000000002,0.0001,0.7779220779220779
26,2.6270000000000002,0.0001,0.7772568118156353
27,2.728,0.0001,0.7744790340378576
28,2.829,0.0001,0.7757830404889228
29,2.93,0.0001,0.7783825651472711
30,3.031,0.0001,0.7780631949749598
31,3.132,0.0001,0.7823115609880316
32,3.233,0.0001,0.7852527374586198
33,3.334,0.0001,0.7881864867158985
34,3.435,0.0001,0.7885132841015193
35,3.536,0.0001,0.7894936762583821
36,3.637,0.0001,0.7904740684152448
37,3.738,0.0001,0.7922714540361598
38,3.839,0.0001,0.7893302775655716
39,3.94,0.0001,0.7868814192343603
40,4.041,0.0001,0.7878607503607503
41,4.142,0.0001,0.7872071555895085
42,4.243,0.0001,0.7854044648162295
43,4.344,0.0001,0.7831179441473559
44,4.445,0.0001,0.7852400050929462
45,4.546,0.0001,0.786220397249809
46,4.647,0.0001,0.7842596129360835
47,4.748,0.0001,0.7844389270859858
