,param_fs__threshold,param_clf__alpha,mean_test_score
0,0.001,0.0001,0.9315911212970036
1,0.10200000000000001,0.0001,0.9322425940072998
2,0.203,0.0001,0.9315911212970036
3,0.30400000000000005,0.0001,0.9332219251336898
4,0.405,0.0001,0.9279931669637552
5,0.506,0.0001,0.9262042695866224
6,0.6070000000000001,0.0001,0.9301258382140736
7,0.7080000000000001,0.0001,0.9309364654952891
8,0.809,0.0001,0.9286488837959425
9,0.91,0.0001,0.9302902979373566
10,1.011,0.0001,0.9281650539003479
11,1.1119999999999999,0.0001,0.9319189797130975
12,1.213,0.0001,0.9247379254732195
13,1.314,0.0001,0.9265353110941346
14,1.415,0.0001,0.9242413632119515
15,1.516,0.0001,0.929958195399372
16,1.617,0.0001,0.9265289449112979
17,1.718,0.0001,0.9279963500551736
18,1.819,0.0001,0.9297916136151431
19,1.92,0.0001,0.9320802563449622
20,2.021,0.0001,0.9353482302011713
21,2.122,0.0001,0.9307751888634239
22,2.223,0.0001,0.9332261692555811
23,2.324,0.0001,0.9325725744843393
24,2.4250000000000003,0.0001,0.932739156268568
25,2.5260000000000002,0.0001,0.9309343434343434
26,2.6270000000000002,0.0001,0.9348516679399033
27,2.728,0.0001,0.9332198030727443
28,2.829,0.0001,0.9317534589593415
29,2.93,0.0001,0.933542356336474
30,3.031,0.0001,0.9343604108309991
31,3.132,0.0001,0.9332176810117986
32,3.233,0.0001,0.933714243273067
33,3.334,0.0001,0.9356771496477381
34,3.435,0.0001,0.9329025549613785
35,3.536,0.0001,0.934039979628215
36,3.637,0.0001,0.9335487225193108
37,3.738,0.0001,0.9333842627960275
38,3.839,0.0001,0.9356718444953739
39,3.94,0.0001,0.9366522366522367
40,4.041,0.0001,0.9356771496477378
41,4.142,0.0001,0.9356760886172651
42,4.243,0.0001,0.9356739665563195
43,4.344,0.0001,0.9356792717086837
44,4.445,0.0001,0.934863339275104
45,4.546,0.0001,0.9355084458025635
46,4.647,0.0001,0.9343646549528902
47,4.748,0.0001,0.9335519056107291
48,4.849000000000001,0.0001,0.9320802563449622
49,4.950000000000001,0.0001,0.9309290382819795
50,5.051000000000001,0.0001,0.9309290382819795
51,5.152000000000001,0.0001,0.928968253968254
52,5.253000000000001,0.0001,0.9296218487394959
53,5.354000000000001,0.0001,0.9253777268483152
54,5.455000000000001,0.0001,0.9258679229267465
55,5.556000000000001,0.0001,0.9239113827349122
56,5.657000000000001,0.0001,0.9221161191749427
57,5.758000000000001,0.0001,0.9245639164756811
