,param_fs__threshold,param_clf__alpha,mean_test_score
0,0.001,0.0001,0.8556436210847975
1,0.10200000000000001,0.0001,0.8531979458450045
2,0.203,0.0001,0.8481368304897717
3,0.30400000000000005,0.0001,0.8482981071216364
4,0.405,0.0001,0.8499257278669043
5,0.506,0.0001,0.8507405992700111
6,0.6070000000000001,0.0001,0.8515575927340635
7,0.7080000000000001,0.0001,0.8502525252525253
8,0.809,0.0001,0.8489410915881503
9,0.91,0.0001,0.8479723707664885
10,1.011,0.0001,0.8445335710041594
11,1.1119999999999999,0.0001,0.8466609371021135
12,1.213,0.0001,0.8383254817078345
13,1.314,0.0001,0.845026950174009
14,1.415,0.0001,0.8430746541040659
15,1.516,0.0001,0.8381779984721159
16,1.617,0.0001,0.8350744843391901
17,1.718,0.0001,0.8401239283592226
18,1.819,0.0001,0.8317937781173075
19,1.92,0.0001,0.8281990068754774
20,2.021,0.0001,0.8339147780324252
21,2.122,0.0001,0.8363636363636363
22,2.223,0.0001,0.8391403531109415
23,2.324,0.0001,0.8399541634835753
24,2.4250000000000003,0.0001,0.8378289194465666
25,2.5260000000000002,0.0001,0.8353779390544096
26,2.6270000000000002,0.0001,0.8357047364400305
27,2.728,0.0001,0.8365217299040829
28,2.829,0.0001,0.837665520753756
29,2.93,0.0001,0.8378289194465666
30,3.031,0.0001,0.8363657584245819
31,3.132,0.0001,0.8344092182327476
32,3.233,0.0001,0.8345779220779221
33,3.334,0.0001,0.8290393430099312
34,3.435,0.0001,0.8274053560818266
35,3.536,0.0001,0.8244641796112384
36,3.637,0.0001,0.8200640862405569
37,3.738,0.0001,0.8182677616501145
38,3.839,0.0001,0.8189213564213563
39,3.94,0.0001,0.8197383498854087
40,4.041,0.0001,0.816141456582633
41,4.142,0.0001,0.8102591036414566
42,4.243,0.0001,0.8112394957983193
43,4.344,0.0001,0.8092797725150668
44,4.445,0.0001,0.801771920889568
45,4.546,0.0001,0.8016042780748662
46,4.647,0.0001,0.8002960275019099
47,4.748,0.0001,0.7968646549528902
48,4.849000000000001,0.0001,0.8017549444020032
49,4.950000000000001,0.0001,0.7991628469569647
50,5.051000000000001,0.0001,0.79393408878703
51,5.152000000000001,0.0001,0.7895180799592565
52,5.253000000000001,0.0001,0.7908252695017401
53,5.354000000000001,0.0001,0.792949452508276
54,5.455000000000001,0.0001,0.7887010864952041
55,5.556000000000001,0.0001,0.7885376878023937
56,5.657000000000001,0.0001,0.7831625074272133
57,5.758000000000001,0.0001,0.7857779475426534
58,5.859000000000001,0.0001,0.7856145488498429
59,5.960000000000001,0.0001,0.7880655292419998
60,6.061000000000001,0.0001,0.7870777098718275
61,6.162000000000001,0.0001,0.7867509124862065
62,6.263000000000001,0.0001,0.7898512435277141
63,6.364000000000001,0.0001,0.7677924199983023
64,6.465000000000001,0.0001,0.7491649690179101
65,6.566000000000001,0.0001,0.7467362702656819
66,6.667000000000001,0.0001,0.7426502419149477
67,6.768000000000001,0.0001,0.724212715389186
68,6.869000000000001,0.0001,0.716380188439012
69,6.970000000000001,0.0001,0.6871318224259401
70,7.071000000000001,0.0001,0.671772345301757
71,7.172000000000001,0.0001,0.6552690773279009
72,7.273000000000001,0.0001,0.6407265936677702
73,7.3740000000000006,0.0001,0.6343646549528902
74,7.4750000000000005,0.0001,0.621456158220864
75,7.5760000000000005,0.0001,0.6167175961293607
76,7.6770000000000005,0.0001,0.5985803412274
77,7.7780000000000005,0.0001,0.5920443935149817
78,7.8790000000000004,0.0001,0.5920443935149817
79,7.98,0.0001,0.5647568118156354
80,8.081,0.0001,0.54498556998557
81,8.182,0.0001,0.5228354978354979
82,8.283,0.0001,0.5148289618877854
83,8.384,0.0001,0.5128681775740599
84,8.485,0.0001,0.4967097445038622
85,8.586,0.0001,0.48429144385026746
86,8.687,0.0001,0.48299274255156616
87,8.788,0.0001,0.4842999320940498
88,8.889,0.0001,0.4805417621594092
89,8.99,0.0001,0.4805417621594092
90,9.091,0.0001,0.4813587556234616
91,9.192,0.0001,0.4813587556234616
92,9.293,0.0001,0.4813587556234616
93,9.394,0.0001,0.4813587556234616
94,9.495,0.0001,0.4813587556234616
95,9.596,0.0001,0.4813587556234616
96,9.697000000000001,0.0001,0.4816855530090825
97,9.798,0.0001,0.4816855530090825
98,9.899000000000001,0.0001,0.4831561412443766
99,10.0,0.0001,0.48217574908751387
100,0.001,0.01,0.7153743315508022
101,0.10200000000000001,0.01,0.7122856718444954
102,0.203,0.01,0.7111408199643494
103,0.30400000000000005,0.01,0.7099970291146762
104,0.405,0.01,0.7068892708598591
105,0.506,0.01,0.7078696630167218
106,0.6070000000000001,0.01,0.7106474407944996
107,0.7080000000000001,0.01,0.7103206434088787
108,0.809,0.01,0.7039480943892709
109,0.91,0.01,0.7060733384262796
110,1.011,0.01,0.7050833969951616
111,1.1119999999999999,0.01,0.7054101943807826
112,1.213,0.01,0.7063980137509549
113,1.314,0.01,0.7023141074611663
114,1.415,0.01,0.7008435192258722
115,1.516,0.01,0.7000275867922927
116,1.617,0.01,0.7023141074611663
117,1.718,0.01,0.7050738477209066
118,1.819,0.01,0.7099758085052204
119,1.92,0.01,0.7148777692895341
120,2.021,0.01,0.7153753925812749
121,2.122,0.01,0.7245172311348782
122,2.223,0.01,0.7307274424921484
123,2.324,0.01,0.7307210763093115
124,2.4250000000000003,0.01,0.7305587386469738
125,2.5260000000000002,0.01,0.7330012307953484
126,2.6270000000000002,0.01,0.7408443680502503
127,2.728,0.01,0.740027374586198
128,2.829,0.01,0.7380665902724727
129,2.93,0.01,0.7400273745861982
130,3.031,0.01,0.7375753331635686
131,3.132,0.01,0.7349651982004923
132,3.233,0.01,0.7351285968933029
133,3.334,0.01,0.7349662592309651
134,3.435,0.01,0.7302276971394619
135,3.536,0.01,0.7297375010610304
136,3.637,0.01,0.7292473049825992
137,3.738,0.01,0.7274531024531025
138,3.839,0.01,0.7269629063746711
139,3.94,0.01,0.7271263050674815
140,4.041,0.01,0.7214094728800611
141,4.142,0.01,0.7187950937950938
142,4.243,0.01,0.716017316017316
143,4.344,0.01,0.7153637212460742
144,4.445,0.01,0.7098102877514643
145,4.546,0.01,0.7098124098124098
146,4.647,0.01,0.7065486800780919
147,4.748,0.01,0.70230031406502
148,4.849000000000001,0.01,0.6961102622867329
149,4.950000000000001,0.01,0.6923520923520924
150,5.051000000000001,0.01,0.6899011119599355
151,5.152000000000001,0.01,0.6856569900687548
152,5.253000000000001,0.01,0.6801014345131993
153,5.354000000000001,0.01,0.6763432645785586
154,5.455000000000001,0.01,0.6765066632713692
155,5.556000000000001,0.01,0.6742190815720228
156,5.657000000000001,0.01,0.6668756896698074
157,5.758000000000001,0.01,0.6665573805279689
158,5.859000000000001,0.01,0.6649233935998643
159,5.960000000000001,0.01,0.6593678380443087
160,6.061000000000001,0.01,0.6644257703081232
161,6.162000000000001,0.01,0.6647525676937441
162,6.263000000000001,0.01,0.6662274000509295
163,6.364000000000001,0.01,0.6629594261947203
164,6.465000000000001,0.01,0.6614888379594263
165,6.566000000000001,0.01,0.660018249724132
166,6.667000000000001,0.01,0.6606729055258468
167,6.768000000000001,0.01,0.6606729055258468
168,6.869000000000001,0.01,0.6606729055258468
169,6.970000000000001,0.01,0.6616532976827095
170,7.071000000000001,0.01,0.6574049316696376
171,7.172000000000001,0.01,0.6559343434343434
172,7.273000000000001,0.01,0.6557709447415331
173,7.3740000000000006,0.01,0.6570696460402343
174,7.4750000000000005,0.01,0.6560892538833716
175,7.5760000000000005,0.01,0.6541284695696461
176,7.6770000000000005,0.01,0.6502069009421951
177,7.7780000000000005,0.01,0.6502069009421951
178,7.8790000000000004,0.01,0.6502069009421951
179,7.98,0.01,0.6425271623801037
180,8.081,0.01,0.6377886002886003
181,8.182,0.01,0.635997580850522
182,8.283,0.01,0.6328930056871233
183,8.384,0.01,0.6328930056871233
184,8.485,0.01,0.6268578643578644
185,8.586,0.01,0.6252238774297598
186,8.687,0.01,0.6255485527544351
187,8.788,0.01,0.6235877684407096
188,8.889,0.01,0.6242413632119514
189,8.99,0.01,0.6242413632119514
190,9.091,0.01,0.6237511671335201
191,9.192,0.01,0.6237511671335201
192,9.293,0.01,0.6230975723622783
193,9.394,0.01,0.6230975723622783
194,9.495,0.01,0.6230975723622783
195,9.596,0.01,0.6230975723622783
196,9.697000000000001,0.01,0.6232609710550887
197,9.798,0.01,0.6232609710550887
198,9.899000000000001,0.01,0.6232609710550887
199,10.0,0.01,0.6232609710550887
