,flow_seq_score,flow_seq_score_pred,context
med4_hhf2_3,0.5488127770495452,0.6143191802983309,3
eaf5_dpd4_3,0.3258191761187905,0.6043624215408446,3
nut2_bre2_3,0.4917976504225005,0.6043624215408446,3
eaf5_nhp10_3,0.2245767275547938,0.6043624215408446,3
rpd3_empty_3,0.410918492385878,0.34745507558880334,3
cac2_hos1_3,0.3741992444633245,0.34745507558880334,3
bre2_hos2_3,0.3049098258110597,0.3915075370704769,3
snf11_spp1_3,0.5415263920055706,0.6043624215408446,3
pyk1_sir2_3,0.4337564043149585,0.2910548750231868,3
sir2_pyk2_3,0.2940890582634022,0.22771568100021372,3
vps71_rtt102_3,0.2877934473017985,0.32971948507656285,3
vps71_pyk2_3,0.2547565169287279,0.32971948507656285,3
pyk1_med7_3,0.425569269358283,0.2910548750231868,3
vp16_gapdh_3,0.5179939628355669,0.6143191802983309,3
arp6_lge1_3,0.3823590885450429,0.3915075370704769,3
swc5_lge1_3,0.3015157665421172,0.32971948507656285,3
nut2_tdh3_3,0.3461732060686696,0.6043624215408446,3
sir2_pyk1_3,0.3473571583249348,0.22771568100021372,3
vps71_srb7_3,0.3177850658310111,0.32971948507656285,3
hos2_pyk1_3,0.2814262012262295,0.34745507558880334,3
hos1_ies5_3,0.3028188656415165,0.3915075370704769,3
snf11_hat1_3,0.54596904117406,0.6043624215408446,3
bre2_gapdh_3,0.2775927995809144,0.3915075370704769,3
spp1_btt1_3,0.3331805515483248,0.2910548750231868,3
sus1_snf11_3,0.5855988086475721,0.6043624215408446,3
hos1_med7_3,0.422202106956377,0.3915075370704769,3
vp16_lge1_3,0.7504486266778057,0.6143191802983309,3
nhp6a_mig1_3,0.1602888856128754,0.22771568100021372,3
snf11_med4_3,0.6001287616039195,0.6043624215408446,3
spp1_htl1_3,0.3948849441807217,0.2910548750231868,3
cac2_empty_3,0.27566690895342,0.34745507558880334,3
sus1_empty_3,0.5053954754987529,0.6043624215408446,3
esa1_sus1_3,0.4613413821417526,0.39093039676301256,3
rpd3_snf11_3,0.5085718946096895,0.5424381506242203,3
swd3_DAM_3,0.4190969424725154,0.34745507558880334,3
eaf5_srb7_3,0.4596267919614946,0.6043624215408446,3
swd3_nhp6a_3,0.4526688018817536,0.34745507558880334,3
med7_sus1_3,0.5084067834469439,0.39093039676301256,3
hat1_mig1_3,0.3314586952535649,0.2910548750231868,3
empty_btt1_3,0.2935615910620222,0.32971948507656285,3
eaf5_ies5_3,0.3124263413901024,0.6043624215408446,3
hmt2_nut2_3,0.2954040889426881,0.2910548750231868,3
ies5_pyk2_3,0.3196742712280455,0.4541061563389989,3
dpd4_sir2_3,0.1317251632186356,0.22771568100021372,3
empty_pyk2_3,0.2723847551619624,0.32971948507656285,3
esa1_med4_3,0.515506686252116,0.39093039676301256,3
ldb7_sfh1_3,0.4171374723468189,0.3915075370704769,3
med7_hst2_3,0.441839923580436,0.39093039676301256,3
bre2_DAM_3,0.2083487930468999,0.3915075370704769,3
btt1_dpd4_3,0.2383603851664466,0.3915075370704769,3
dpd4_rtt102_3,0.2757870720420411,0.22771568100021372,3
sus1_eaf3_3,0.4581240291366762,0.6043624215408446,3
med7_ldb7_3,0.4749382377824198,0.39093039676301256,3
sus1_pyk2_3,0.3450966730087295,0.6043624215408446,3
gapdh_pyk1_3,0.233927044562367,0.22771568100021372,3
gapdh_nut2_3,0.2465384673646919,0.22771568100021372,3
cac2_hst2_3,0.2884112246610704,0.34745507558880334,3
pyk2_arp9_3,0.239486570540499,0.2910548750231868,3
hhf2_med7_3,0.3039625482181869,0.22771568100021372,3
sus1_sfh1_3,0.557092438991826,0.6043624215408446,3
ies5_med7_3,0.4314166805087424,0.4541061563389989,3
gapdh_vps71_3,0.2054660689315721,0.22771568100021372,3
pyk1_ada2_3,0.3927215438467035,0.2910548750231868,3
nhp10_pyk2_3,0.3167427896993392,0.32971948507656285,3
ies5_htl1_3,0.372052672654616,0.4541061563389989,3
btt1_cac2_3,0.3517817724520747,0.3915075370704769,3
mig1_nhp6a_3,0.237271775025201,0.22771568100021372,3
swc5_rtt102_3,0.3191854244985901,0.32971948507656285,3
btt1_arp9_3,0.3485500452996715,0.3915075370704769,3
sir2_dpd4_3,0.3026061073930158,0.22771568100021372,3
htl1_nhp10_3,0.2107573090062177,0.4541061563389989,3
sir2_tdh3_3,0.2251168533368145,0.22771568100021372,3
btt1_nut2_3,0.3691309708458617,0.3915075370704769,3
vp16_eaf5_3,0.6029054486624771,0.6143191802983309,3
bre2_ldb7_3,0.4887803625710164,0.3915075370704769,3
esa1_empty_3,0.344782043180781,0.39093039676301256,3
hmt2_lge1_3,0.3296737749708961,0.2910548750231868,3
med7_dpd4_3,0.3100143023447351,0.39093039676301256,3
cac2_nhp10_3,0.3364278282514461,0.34745507558880334,3
lge1_sir2_3,0.2363091932110405,0.34745507558880334,3
cac2_srb7_3,0.2902668020983848,0.34745507558880334,3
sus1_nhp6a_3,0.531316474369478,0.6043624215408446,3
med7_btt1_3,0.443252218437997,0.39093039676301256,3
esa1_gcn5_3,0.4372054603124208,0.39093039676301256,3
esa1_ldb7_3,0.4581238003751122,0.39093039676301256,3
gcn5_vp16_3,0.5500099079976772,0.4541061563389989,3
srb7_esa1_3,0.4153218653374641,0.39093039676301256,3
vps71_lge1_3,0.3053801352303046,0.32971948507656285,3
hos2_empty_3,0.4099932956062151,0.34745507558880334,3
rtt102_mig1_3,0.2107219575071125,0.4541061563389989,3
gapdh_nhp6a_3,0.3099030486652604,0.22771568100021372,3
arp6_ies5_3,0.2952541873391358,0.3915075370704769,3
swd3_tdh3_3,0.2247231191342538,0.34745507558880334,3
snf11_sfh1_3,0.5751224944252203,0.6043624215408446,3
hst2_DAM_3,0.3506077624555475,0.2910548750231868,3
bre2_pyk1_3,0.2733740139276434,0.3915075370704769,3
sfh1_dpd4_3,0.5074081446595872,0.6143191802983309,3
btt1_hos2_3,0.3439148280955786,0.3915075370704769,3
ada2_vp16_3,0.5899625379464937,0.6086618305561068,3
empty_snf11_3,0.5582590750360328,0.5733566076530814,3
hat2_cdc36_3,0.3619565905977511,0.3915075370704769,3
spp1_hat2_3,0.3803004432243125,0.2910548750231868,3
arp9_med7_3,0.3366965432001598,0.2910548750231868,3
gapdh_sfh1_3,0.2544689170798521,0.22771568100021372,3
hos2_nhp6a_3,0.4219153916469992,0.34745507558880334,3
arp9_sfh1_3,0.3616599756365504,0.2910548750231868,3
dpd4_ada2_3,0.3682160300911045,0.22771568100021372,3
hda1_sus1_3,0.3753478504183728,0.2910548750231868,3
eaf3_srb7_3,0.3697858927452333,0.39093039676301256,3
pyk2_eaf3_3,0.333310202021663,0.2910548750231868,3
esa1_hos1_3,0.3793166960770688,0.39093039676301256,3
spp1_hat1_3,0.3338801472407078,0.2910548750231868,3
hat2_cac2_3,0.297154285280983,0.3915075370704769,3
eaf5_gapdh_3,0.263018426848621,0.6043624215408446,3
btt1_snf11_3,0.5798770041993146,0.4849734591222687,3
lge1_vp16_3,0.4906685751064199,0.5424381506242203,3
lge1_sfh1_3,0.48327422790415,0.34745507558880334,3
rtt102_med4_3,0.5523302133957779,0.4541061563389989,3
mig1_sfh1_3,0.20860059090607,0.22771568100021372,3
bre2_esa1_3,0.2955431590272321,0.3915075370704769,3
arp6_mig1_3,0.2167264336718096,0.3915075370704769,3
vp16_sus1_3,0.7542584064565695,0.6143191802983309,3
eaf5_cac2_3,0.3842028281032239,0.6043624215408446,3
vps71_gcn5_3,0.3726899213544276,0.32971948507656285,3
arp6_cdc36_3,0.4366560436218979,0.3915075370704769,3
dpd4_ldb7_3,0.4163582992342457,0.22771568100021372,3
eaf5_vp16_3,0.6328358821274845,0.6043624215408446,3
rtt102_cac2_3,0.413344535011028,0.4541061563389989,3
vp16_empty_3,0.7771558118537536,0.6143191802983309,3
sir2_hmt2_3,0.2600589458234736,0.22771568100021372,3
hat2_vp16_3,0.5748542004246229,0.4849734591222687,3
empty_ies5_3,0.2617414096044974,0.32971948507656285,3
bre2_gcn5_3,0.4141123850003621,0.3915075370704769,3
sir2_rpd3_3,0.3226897410335434,0.22771568100021372,3
