,flow_seq_score,flow_seq_score_pred,context
nhp6a_arp9_4,0.2192513097621792,0.28204986023921225,4
cac2_lge1_4,0.2769090283560168,0.2717389330538835,4
nut2_dpd4_4,0.2877608491568248,0.32591494579748687,4
btt1_DAM_4,0.4014389539892219,0.2914029257043177,4
hda1_hat1_4,0.3135975381754835,0.2868742435019398,4
ada2_ies5_4,0.2313217509759254,0.3276384675708406,4
hat2_hos2_4,0.379367104095195,0.3228338863238867,4
nut2_eaf3_4,0.3475908883368631,0.38923841882793914,4
gapdh_hmt2_4,0.2248993892797664,0.2530196232925226,4
vp16_eaf3_4,0.3062458638263878,0.3999495404185197,4
pyk2_eaf3_4,0.3307178056025751,0.32138456552452505,4
srb7_htl1_4,0.4706199909220738,0.4450428454328287,4
hat1_sus1_4,0.4311916895408302,0.3697356950253719,4
srb7_rpd3_4,0.2905460434221518,0.27061801045697836,4
hhf2_lge1_4,0.2962123553048136,0.27119999413156576,4
spp1_vp16_4,0.6605001750950732,0.6194504099123859,4
htl1_hst2_4,0.2440249203340413,0.24619950101082658,4
hos1_sus1_4,0.4042011667197613,0.33236761459130615,4
swc5_DAM_4,0.3564284166008914,0.29542013831677727,4
pyk2_gcn5_4,0.4893971266279661,0.4370397391041386,4
nhp10_bre2_4,0.288981890432305,0.33520844977201936,4
hos1_rpd3_4,0.3142696863071862,0.2944615715418845,4
btt1_srb7_4,0.3026000022587383,0.3161917570721576,4
gapdh_hat2_4,0.2154316356335234,0.27053417903792737,4
eaf3_empty_4,0.3117590556951472,0.29396457679202265,4
rtt102_hat1_4,0.2806842469159312,0.31521028306441967,4
nhp10_pyk1_4,0.3001216573231526,0.27683750339572666,4
vps71_nhp6a_4,0.3667338692591606,0.37273675800992767,4
pyk1_sir2_4,0.4554149786334069,0.3185455860840795,4
nhp6a_rtt102_4,0.3176545429920122,0.30707293336804253,4
vp16_cac2_4,0.4215562998055064,0.38561378559709375,4
med4_snf11_4,0.7997445985460435,0.7367885545305899,4
med7_sfh1_4,0.4528141476509954,0.4680557452288331,4
med4_vp16_4,0.6148125055118734,0.6641881021983841,4
hmt2_empty_4,0.3139053002349371,0.3122833408906147,4
pyk1_med4_4,0.5470324636112744,0.4884620854292832,4
mig1_ies5_4,0.2976392956164607,0.31795056970880536,4
sir2_gcn5_4,0.3704840759721824,0.3537127305146484,4
hos1_hos2_4,0.2929867945210257,0.31292709300472543,4
rpd3_med7_4,0.4060118133632436,0.4479987453913299,4
hos2_hat1_4,0.3029875836521332,0.31862970502794774,4
mig1_cdc36_4,0.2783597988111326,0.30131145534099235,4
dpd4_gcn5_4,0.4774523994587979,0.3789490652887487,4
sfh1_gcn5_4,0.4484739793080167,0.40566316397914726,4
htl1_rpd3_4,0.277071316335408,0.24315632922811115,4
hat1_DAM_4,0.3206320245793903,0.31058269547175726,4
hst2_spp1_4,0.3361891008262821,0.33121118375239705,4
bre2_tdh3_4,0.2484421370840464,0.26564554966291254,4
dpd4_bre2_4,0.2674633091634184,0.3551641788023752,4
gapdh_hat1_4,0.2645935693054688,0.2949146887885833,4
sir2_rpd3_4,0.2647130472644866,0.28243606164306506,4
rpd3_vp16_4,0.557931294790891,0.6424169262514173,4
gcn5_nut2_4,0.3871581060641976,0.33994125333609254,4
hat1_dpd4_4,0.2601767854324782,0.29251316720946485,4
btt1_nhp10_4,0.2717968491937532,0.342329329363641,4
ada2_med7_4,0.4303173479696482,0.37732691714816263,4
dpd4_ldb7_4,0.4794334536997647,0.44829578562307426,4
nhp10_hat1_4,0.3066979330811581,0.3054934093394668,4
arp9_mig1_4,0.3277481302437358,0.2288341961643879,4
eaf3_ada2_4,0.4133536158348486,0.4180173311486144,4
dpd4_sus1_4,0.4430457157493197,0.3180573510468594,4
nhp6a_sfh1_4,0.3295021600536991,0.3672175417245399,4
hst2_rtt102_4,0.3268882072438078,0.37046247257817083,4
