,flow_seq_score,flow_seq_score_pred,context
med4_hhf2_3,0.5488127770495452,0.4364469786445714,3
eaf5_dpd4_3,0.3258191761187905,0.41795695754901413,3
nut2_bre2_3,0.4917976504225005,0.45469875984597397,3
eaf5_nhp10_3,0.2245767275547938,0.42923475176433884,3
rpd3_empty_3,0.410918492385878,0.32168963505271647,3
cac2_hos1_3,0.3741992444633245,0.37320499133338714,3
bre2_hos2_3,0.3049098258110597,0.380739059134625,3
snf11_spp1_3,0.5415263920055706,0.51514942380842,3
pyk1_sir2_3,0.4337564043149585,0.2959845255780628,3
sir2_pyk2_3,0.2940890582634022,0.3343432277690202,3
vps71_rtt102_3,0.2877934473017985,0.42932608925842064,3
vps71_pyk2_3,0.2547565169287279,0.38789538194714884,3
pyk1_med7_3,0.425569269358283,0.3144737322894356,3
vp16_gapdh_3,0.5179939628355669,0.5441577112086444,3
arp6_lge1_3,0.3823590885450429,0.37517306330342287,3
swc5_lge1_3,0.3015157665421172,0.3684424071071391,3
nut2_tdh3_3,0.3461732060686696,0.41702264797128036,3
sir2_pyk1_3,0.3473571583249348,0.32746336433761186,3
vps71_srb7_3,0.3177850658310111,0.4363991781707869,3
hos2_pyk1_3,0.2814262012262295,0.343551413403937,3
hos1_ies5_3,0.3028188656415165,0.41848056627689334,3
snf11_hat1_3,0.54596904117406,0.5170813150781886,3
bre2_gapdh_3,0.2775927995809144,0.3509468545983955,3
spp1_btt1_3,0.3331805515483248,0.33928545099946245,3
sus1_snf11_3,0.5855988086475721,0.4622791345623191,3
hos1_med7_3,0.422202106956377,0.42955962472543663,3
vp16_lge1_3,0.7504486266778057,0.5864509069669082,3
nhp6a_mig1_3,0.1602888856128754,0.3120235594620601,3
snf11_med4_3,0.6001287616039195,0.533207867089512,3
spp1_htl1_3,0.3948849441807217,0.3581720946920814,3
cac2_empty_3,0.27566690895342,0.3663584473645204,3
sus1_empty_3,0.5053954754987529,0.4236849853059178,3
esa1_sus1_3,0.4613413821417526,0.4324056514555916,3
rpd3_snf11_3,0.5085718946096895,0.3602837843091178,3
swd3_DAM_3,0.4190969424725154,0.3737744397336562,3
eaf5_srb7_3,0.4596267919614946,0.4308535573670944,3
swd3_nhp6a_3,0.4526688018817536,0.376135794825797,3
med7_sus1_3,0.5084067834469439,0.4345216589477779,3
hat1_mig1_3,0.3314586952535649,0.41833149106852835,3
empty_btt1_3,0.2935615910620222,0.3347529542288937,3
eaf5_ies5_3,0.3124263413901024,0.41747675505160126,3
hmt2_nut2_3,0.2954040889426881,0.28474062663916383,3
ies5_pyk2_3,0.3196742712280455,0.38715801570950537,3
dpd4_sir2_3,0.1317251632186356,0.362580324236245,3
empty_pyk2_3,0.2723847551619624,0.3031584235963293,3
esa1_med4_3,0.515506686252116,0.44475785173828725,3
ldb7_sfh1_3,0.4171374723468189,0.38438112675489083,3
med7_hst2_3,0.441839923580436,0.39622234481039886,3
bre2_DAM_3,0.2083487930468999,0.38092258404606194,3
btt1_dpd4_3,0.2383603851664466,0.3697784974717607,3
dpd4_rtt102_3,0.2757870720420411,0.3762941859022013,3
sus1_eaf3_3,0.4581240291366762,0.4387885958989586,3
med7_ldb7_3,0.4749382377824198,0.41872446405524655,3
sus1_pyk2_3,0.3450966730087295,0.39945760915722933,3
gapdh_pyk1_3,0.233927044562367,0.24200107523022985,3
gapdh_nut2_3,0.2465384673646919,0.2908240753578847,3
cac2_hst2_3,0.2884112246610704,0.3422096492819948,3
pyk2_arp9_3,0.239486570540499,0.329018642040964,3
hhf2_med7_3,0.3039625482181869,0.3343570617622717,3
sus1_sfh1_3,0.557092438991826,0.4580429624507288,3
ies5_med7_3,0.4314166805087424,0.4333640680661936,3
gapdh_vps71_3,0.2054660689315721,0.2927494337044367,3
pyk1_ada2_3,0.3927215438467035,0.3093923271580671,3
nhp10_pyk2_3,0.3167427896993392,0.3761773637628615,3
ies5_htl1_3,0.372052672654616,0.4376391900346887,3
btt1_cac2_3,0.3517817724520747,0.3489029357515744,3
mig1_nhp6a_3,0.237271775025201,0.3144630135126508,3
swc5_rtt102_3,0.3191854244985901,0.3781958343925267,3
btt1_arp9_3,0.3485500452996715,0.36289254089146084,3
sir2_dpd4_3,0.3026061073930158,0.369950424174578,3
htl1_nhp10_3,0.2107573090062177,0.48118158646892367,3
sir2_tdh3_3,0.2251168533368145,0.3305945833387263,3
btt1_nut2_3,0.3691309708458617,0.37611443776244946,3
vp16_eaf5_3,0.6029054486624771,0.5979458304061975,3
bre2_ldb7_3,0.4887803625710164,0.38414346764178575,3
esa1_empty_3,0.344782043180781,0.4182551354007381,3
hmt2_lge1_3,0.3296737749708961,0.2744747699688015,3
med7_dpd4_3,0.3100143023447351,0.4317509631497937,3
cac2_nhp10_3,0.3364278282514461,0.38901606183671444,3
lge1_sir2_3,0.2363091932110405,0.41973851499865755,3
cac2_srb7_3,0.2902668020983848,0.39063486743946996,3
sus1_nhp6a_3,0.531316474369478,0.4211787779646569,3
med7_btt1_3,0.443252218437997,0.42773829737680025,3
esa1_gcn5_3,0.4372054603124208,0.4268741908632949,3
esa1_ldb7_3,0.4581238003751122,0.41660845656306034,3
gcn5_vp16_3,0.5500099079976772,0.39988844096953713,3
srb7_esa1_3,0.4153218653374641,0.4794698442185217,3
vps71_lge1_3,0.3053801352303046,0.41957266197303306,3
hos2_empty_3,0.4099932956062151,0.3746586529840338,3
rtt102_mig1_3,0.2107219575071125,0.3891053915555462,3
gapdh_nhp6a_3,0.3099030486652604,0.2706021074690657,3
arp6_ies5_3,0.2952541873391358,0.3786227771856836,3
swd3_tdh3_3,0.2247231191342538,0.35066598158807555,3
snf11_sfh1_3,0.5751224944252203,0.5410631278967738,3
hst2_DAM_3,0.3506077624555475,0.2782702033517134,3
bre2_pyk1_3,0.2733740139276434,0.3546829068993668,3
