,flow_seq_score,flow_seq_score_pred,context
nhp10_nhp10_1,0.2560637944710311,0.27004587075891956,1
eaf5_snf11_1,0.7377481172444879,0.6043624215408446,1
med7_gcn5_1,0.4754282911922562,0.39093039676301256,1
med7_ies5_1,0.2714006932645694,0.39093039676301256,1
dpd4_med4_1,0.2226161577990103,0.22771568100021372,1
lge1_gapdh_1,0.3832516087310076,0.4474748677543879,1
hhf2_nhp6a_1,0.2558101044964469,0.22771568100021372,1
htl1_tdh3_1,0.3180097177106117,0.4541061563389989,1
lge1_hos1_1,0.3387986486960556,0.4474748677543879,1
bre2_ldb7_1,0.4879696860726789,0.3915075370704769,1
dpd4_arp9_1,0.1772978523483367,0.22771568100021372,1
srb7_spp1_1,0.4244953397055661,0.39093039676301256,1
sfh1_cdc36_1,0.8275475853094667,0.8222201682535233,1
ada2_spp1_1,0.6769785084369183,0.39093039676301256,1
ies5_nhp6a_1,0.489335634029004,0.4541061563389989,1
sus1_spp1_1,0.5985774943842951,0.6043624215408446,1
arp9_eaf3_1,0.2516752331900622,0.2910548750231868,1
mig1_spp1_1,0.1569159110368853,0.22771568100021372,1
nhp10_htl1_1,0.3374743316476302,0.27004587075891956,1
pyk2_gcn5_1,0.2471024062542043,0.2910548750231868,1
sus1_swc5_1,0.6324866742877457,0.6043624215408446,1
nhp10_hat1_1,0.2732429568419781,0.27004587075891956,1
empty_arp9_1,0.2180897134114992,0.27004587075891956,1
hat2_gcn5_1,0.2734601494100238,0.3915075370704769,1
DAM_lge1_1,0.2742032263994077,0.2910548750231868,1
pyk1_sfh1_1,0.2619640555162713,0.2910548750231868,1
hmt2_gapdh_1,0.2088710851418405,0.2910548750231868,1
hda1_hat2_1,0.2089725292370093,0.2910548750231868,1
vp16_spp1_1,0.8725808666610176,0.8222201682535233,1
arp9_rtt102_1,0.2427541642754463,0.2910548750231868,1
srb7_med7_1,0.6273188856046206,0.39093039676301256,1
mig1_mig1_1,0.1530979541129195,0.22771568100021372,1
hat2_cdc36_1,0.3473118049751699,0.3915075370704769,1
spp1_vps71_1,0.1978821240142884,0.2910548750231868,1
hat2_DAM_1,0.2403110812509176,0.3915075370704769,1
snf11_hst2_1,0.6889879607543445,0.6043624215408446,1
tdh3_spp1_1,0.1892584246618056,0.22771568100021372,1
vps71_srb7_1,0.2489340179931259,0.27004587075891956,1
hst2_nhp10_1,0.2663379625079356,0.2910548750231868,1
hst2_nhp6a_1,0.2532478128816914,0.2910548750231868,1
pyk1_esa1_1,0.4052980277830389,0.2910548750231868,1
snf11_med7_1,0.7485872161521494,0.6043624215408446,1
htl1_arp6_1,0.394594123068936,0.4541061563389989,1
gcn5_eaf3_1,0.3362601988516659,0.4541061563389989,1
nhp6a_DAM_1,0.3809336189397617,0.22771568100021372,1
bre2_gcn5_1,0.4315773720942882,0.3915075370704769,1
hos2_nut2_1,0.5662102096477005,0.4474748677543879,1
med7_esa1_1,0.3800110994622329,0.39093039676301256,1
htl1_gapdh_1,0.3354943548569284,0.4541061563389989,1
hat1_arp6_1,0.2456089867892985,0.2910548750231868,1
esa1_hos1_1,0.4258568541819833,0.39093039676301256,1
hhf2_pyk2_1,0.243825739053234,0.22771568100021372,1
hos1_bre2_1,0.3079825538728427,0.3915075370704769,1
pyk2_hat2_1,0.2589156142585303,0.2910548750231868,1
hst2_srb7_1,0.2237812499295359,0.2910548750231868,1
tdh3_eaf3_1,0.2201616378195153,0.22771568100021372,1
arp9_nhp10_1,0.2015863624951035,0.2910548750231868,1
htl1_nhp6a_1,0.3679885291714969,0.4541061563389989,1
vp16_eaf3_1,0.8634815460113694,0.8222201682535233,1
sir2_sir2_1,0.1436690082757068,0.22771568100021372,1
eaf5_cdc36_1,0.6782920767392269,0.6043624215408446,1
esa1_pyk1_1,0.3435692361155946,0.39093039676301256,1
hos2_bre2_1,0.4967256564889043,0.4474748677543879,1
esa1_rtt102_1,0.4713699500389092,0.39093039676301256,1
sir2_ies5_1,0.2232634914723092,0.22771568100021372,1
srb7_tdh3_1,0.3420507407662422,0.39093039676301256,1
sir2_bre2_1,0.2415085050477294,0.22771568100021372,1
rtt102_lge1_1,0.4508238892639071,0.4541061563389989,1
mig1_hat1_1,0.1794952612807441,0.22771568100021372,1
sir2_empty_1,0.2310991673964688,0.22771568100021372,1
nut2_pyk1_1,0.4928930242242259,0.6043624215408446,1
dpd4_tdh3_1,0.1866839267064076,0.22771568100021372,1
tdh3_DAM_1,0.1944136642247279,0.22771568100021372,1
btt1_nut2_1,0.3334727649719057,0.3915075370704769,1
hmt2_cdc36_1,0.2402365192569876,0.2910548750231868,1
med7_snf11_1,0.6594948176512919,0.6086618305561068,1
ies5_sus1_1,0.5560479247643026,0.4541061563389989,1
nhp10_vps71_1,0.3470395697975899,0.27004587075891956,1
eaf5_hat1_1,0.5655966339507588,0.6043624215408446,1
bre2_hos2_1,0.2778145302846425,0.3915075370704769,1
snf11_DAM_1,0.6729785481235645,0.6043624215408446,1
tdh3_cac2_1,0.2070616896957391,0.22771568100021372,1
hos1_vp16_1,0.6451317124996219,0.4849734591222687,1
nhp10_eaf3_1,0.2878088341021423,0.27004587075891956,1
eaf5_dpd4_1,0.4801255577239267,0.6043624215408446,1
ies5_hat2_1,0.4367962783030413,0.4541061563389989,1
