,y_train,y_pred_train
ada2_ies5,0.5731128035042325,0.4493076226343292
med4_hos2,0.7881407920581841,0.4707507159396346
hos1_btt1,0.3481152607708674,0.43065077729336493
rtt102_cac2,0.4361318963835298,0.3609172162842294
nhp10_med4,0.2823197273623028,0.44061268523826747
srb7_rtt102,0.4485718111667425,0.5469680114149797
hst2_arp6,0.2469879773337454,0.2577398815624699
snf11_empty,0.6733282202756733,0.581340137499357
vps71_ldb7,0.4787426420955672,0.4073896027831161
sus1_hhf2,0.6243224504646601,0.477618601744326
pyk2_hst2,0.2819848167204054,0.3001755578988228
mig1_rtt102,0.2004433631311473,0.3273088537636448
eaf5_hos1,0.6051810209899502,0.43813606485262313
srb7_dpd4,0.2986312861224029,0.5443251512492098
esa1_tdh3,0.3328166768158526,0.40330500676271835
rpd3_ada2,0.5493581905238031,0.34066788252097907
hmt2_med7,0.2238883191366606,0.27105892761341294
hda1_ies5,0.1644513019719542,0.36721653276902627
vp16_arp9,0.8357248951744649,0.7600349400752866
cac2_tdh3,0.2645158840729539,0.3261149540941656
hat2_lge1,0.2691605048429647,0.42573540745629923
htl1_sir2,0.2942069236691489,0.4995527722881553
arp9_sus1,0.2693665922484239,0.3870497286735495
sir2_sfh1,0.2081638494022795,0.37799825406692256
sus1_pyk1,0.4169939499174128,0.45135336100817947
sir2_btt1,0.2121100024876956,0.3504609114789992
nhp6a_vp16,0.4944584242877855,0.29500339755592964
hat1_arp6,0.2456089867892985,0.4381452487948537
tdh3_hat1,0.2192524314735176,0.29020615618202084
vps71_srb7,0.2489340179931259,0.43905920982930924
hmt2_DAM,0.1950965249516384,0.24974116824065923
vp16_sus1,0.8761931787550353,0.7779610987682051
eaf3_tdh3,0.2358663883648969,0.3268195150115446
bre2_sfh1,0.3760050597670418,0.41505484369128864
sir2_ldb7,0.2520625686227256,0.3397420323439424
vps71_empty,0.2520744967274816,0.41431387642867284
hda1_hat2,0.2089725292370093,0.3490232255813798
mig1_ies5,0.1628695880115386,0.32844758630557214
bre2_empty,0.2805993712208118,0.3837228956138652
ldb7_med4,0.7077815595885639,0.37497646138556406
swd3_lge1,0.5693934817564483,0.3757222722227953
snf11_eaf3,0.6504254509132859,0.5866510499965608
pyk2_sfh1,0.2774790772179258,0.3573809345995238
