,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin7_rep1,bin8_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2,bin7_rep2,bin8_rep2
tdh3_dpd4,415114.0,292869.0,198421.0,56410.0,10573.0,10113.0,11423.0,14194.0,452872.0,398148.0,292467.0,135679.0,25554.0,6929.0,6231.0,6555.0
dpd4_dpd4,336051.0,245126.0,186190.0,73652.0,11164.0,9628.0,8247.0,8580.0,319155.0,302186.0,206549.0,125010.0,34883.0,6815.0,6430.0,6893.0
tdh3_vp16,201845.0,147615.0,113488.0,28898.0,5983.0,5375.0,4901.0,4713.0,221218.0,215919.0,161314.0,77739.0,15022.0,2762.0,2750.0,2583.0
tdh3_lge1,192173.0,149818.0,106245.0,32085.0,5600.0,4197.0,4343.0,5336.0,143916.0,127357.0,102379.0,57091.0,8582.0,2781.0,3249.0,3549.0
tdh3_med4,171715.0,143496.0,96806.0,27635.0,6999.0,9392.0,10038.0,8276.0,204568.0,193035.0,143241.0,77199.0,13837.0,3719.0,5111.0,6345.0
tdh3_srb7,158447.0,124719.0,83433.0,27460.0,4475.0,4491.0,3427.0,3502.0,148171.0,140005.0,105991.0,53904.0,9325.0,2851.0,1993.0,1924.0
dpd4_srb7,151316.0,117628.0,76792.0,34744.0,4300.0,3566.0,2989.0,3264.0,114571.0,116021.0,74236.0,47461.0,10987.0,2050.0,1825.0,1993.0
dpd4_empty,148432.0,100957.0,72503.0,30900.0,4042.0,3643.0,3013.0,2952.0,123905.0,108445.0,83310.0,37372.0,8280.0,2030.0,2100.0,1857.0
dpd4_med4,147854.0,108330.0,90777.0,38812.0,7392.0,4680.0,4406.0,4760.0,188342.0,167501.0,135514.0,83786.0,19194.0,3402.0,2868.0,2777.0
tdh3_empty,143750.0,99347.0,66876.0,18766.0,3363.0,2888.0,2926.0,2914.0,134331.0,113394.0,83366.0,37623.0,8128.0,1710.0,1563.0,1543.0
tdh3_gapdh,137078.0,93446.0,68585.0,21239.0,4449.0,3592.0,2758.0,2935.0,140732.0,127608.0,96153.0,49905.0,8125.0,2466.0,1980.0,1833.0
dpd4_lge1,123960.0,96799.0,69666.0,33688.0,5540.0,4132.0,5039.0,3485.0,167542.0,161403.0,113398.0,64749.0,15516.0,2971.0,2725.0,2245.0
tdh3_snf11,122638.0,118269.0,92571.0,29291.0,4440.0,3799.0,3784.0,3774.0,119227.0,131141.0,125383.0,72417.0,11033.0,2437.0,2394.0,2212.0
tdh3_med7,118888.0,96746.0,66586.0,18725.0,2626.0,2303.0,2292.0,2438.0,97269.0,87988.0,62970.0,27971.0,5977.0,1609.0,1418.0,1571.0
