,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin7_rep1,bin8_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2,bin7_rep2,bin8_rep2
swc5_nut2,2719.0,1855.0,2010.0,2113.0,1729.0,970.0,433.0,684.0,2647.0,3297.0,2948.0,2437.0,3226.0,950.0,800.0,818.0
htl1_hat1,2719.0,4187.0,7036.0,9608.0,10185.0,501.0,497.0,356.0,2367.0,3129.0,5282.0,8535.0,14059.0,2342.0,597.0,1716.0
hmt2_hat2,2709.0,2934.0,2613.0,1132.0,379.0,79.0,288.0,83.0,3617.0,3078.0,2397.0,1174.0,1091.0,280.0,251.0,195.0
hst2_med4,2706.0,1766.0,2336.0,1277.0,508.0,242.0,679.0,407.0,1849.0,1556.0,1805.0,1203.0,987.0,676.0,646.0,630.0
tdh3_arp6,2703.0,2828.0,2685.0,1184.0,675.0,110.0,87.0,83.0,2781.0,2284.0,1742.0,1247.0,596.0,187.0,160.0,210.0
empty_nhp6a,2702.0,1237.0,1261.0,1272.0,282.0,46.0,86.0,68.0,1625.0,1395.0,1010.0,865.0,626.0,316.0,409.0,215.0
empty_gcn5,2693.0,2458.0,2900.0,3292.0,2684.0,326.0,234.0,120.0,1119.0,1304.0,1294.0,1573.0,3447.0,1505.0,220.0,194.0
srb7_tdh3,2681.0,3186.0,4617.0,6102.0,4058.0,321.0,129.0,191.0,1434.0,2266.0,4169.0,3846.0,8677.0,614.0,299.0,711.0
mig1_rpd3,2680.0,1064.0,1225.0,418.0,343.0,110.0,80.0,106.0,1297.0,710.0,534.0,217.0,403.0,481.0,383.0,421.0
arp9_rpd3,2672.0,3073.0,1666.0,1238.0,220.0,37.0,31.0,57.0,740.0,1372.0,676.0,247.0,131.0,200.0,65.0,80.0
mig1_mig1,2653.0,1252.0,689.0,392.0,311.0,125.0,70.0,112.0,1579.0,488.0,401.0,82.0,190.0,192.0,116.0,182.0
vp16_hat1,2650.0,1670.0,2215.0,1975.0,1816.0,5348.0,18692.0,75848.0,2210.0,1967.0,1626.0,1791.0,4503.0,18762.0,48646.0,178948.0
nut2_lge1,2642.0,2345.0,4158.0,8064.0,26362.0,31990.0,10664.0,1546.0,1602.0,2424.0,3148.0,5542.0,51103.0,56929.0,18955.0,7018.0
