,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2
pyk1_hmt2,22.0,43.0,96.0,38.0,96.0,31.0,41.0,32.0,40.0,25.0,35.0,35.0
spp1_nut2,21.0,34.0,28.0,18.0,21.0,32.0,460.0,235.0,281.0,175.0,298.0,23.0
empty_hst2,21.0,87.0,104.0,95.0,69.0,94.0,296.0,384.0,546.0,432.0,300.0,34.0
sfh1_sfh1,21.0,23.0,61.0,62.0,105.0,12.0,72.0,22.0,105.0,111.0,80.0,17.0
nhp10_esa1,21.0,27.0,12.0,27.0,21.0,10.0,190.0,94.0,74.0,193.0,116.0,23.0
hos2_hhf2,21.0,87.0,62.0,84.0,123.0,41.0,163.0,228.0,445.0,318.0,141.0,41.0
hmt2_swc5,21.0,34.0,36.0,38.0,38.0,24.0,23.0,40.0,28.0,26.0,23.0,20.0
sus1_htl1,21.0,34.0,52.0,41.0,48.0,25.0,53.0,66.0,120.0,142.0,127.0,31.0
hat1_med7,21.0,41.0,44.0,14.0,26.0,13.0,231.0,184.0,206.0,154.0,240.0,449.0
vps71_nut2,21.0,30.0,85.0,84.0,89.0,14.0,285.0,20.0,59.0,66.0,104.0,19.0
sus1_ldb7,21.0,73.0,98.0,131.0,181.0,50.0,172.0,119.0,321.0,306.0,558.0,1022.0
ldb7_sus1,20.0,60.0,115.0,49.0,55.0,19.0,24.0,31.0,35.0,38.0,34.0,24.0
ldb7_pyk2,20.0,26.0,23.0,28.0,23.0,17.0,23.0,19.0,29.0,22.0,38.0,34.0
med4_vps71,20.0,53.0,95.0,44.0,165.0,20.0,482.0,135.0,69.0,167.0,152.0,17.0
bre2_spp1,20.0,26.0,62.0,23.0,74.0,21.0,161.0,116.0,218.0,291.0,199.0,30.0
hst2_nhp6a,20.0,27.0,44.0,27.0,47.0,20.0,380.0,476.0,444.0,320.0,361.0,17.0
