,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin7_rep1,bin8_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2,bin7_rep2,bin8_rep2
nut2_lge1,96288.0,79961.0,55120.0,21423.0,2131.0,2114.0,1623.0,2381.0,3693.0,3939.0,4004.0,2448.0,2439.0,2284.0,1795.0,1957.0
tdh3_dpd4,80815.0,63459.0,43611.0,14050.0,10845.0,12625.0,9264.0,14221.0,76690.0,94457.0,39146.0,8654.0,11858.0,12148.0,9219.0,10366.0
srb7_dpd4,43176.0,34758.0,32362.0,10943.0,4120.0,4028.0,3545.0,5421.0,38174.0,31897.0,17212.0,4886.0,4861.0,5258.0,4001.0,4834.0
rtt102_dpd4,31728.0,23569.0,21327.0,6001.0,3721.0,3517.0,3514.0,6688.0,24823.0,25476.0,13512.0,3543.0,4505.0,4893.0,3941.0,4334.0
srb7_lge1,31409.0,25143.0,21937.0,11811.0,3106.0,2520.0,1810.0,2623.0,8509.0,10552.0,7763.0,3758.0,2842.0,2523.0,2176.0,2407.0
snf11_dpd4,31147.0,16511.0,13609.0,5165.0,3669.0,3498.0,3497.0,5290.0,25128.0,15661.0,9561.0,3042.0,4581.0,4428.0,3974.0,4247.0
btt1_dpd4,27617.0,19917.0,20673.0,6856.0,4478.0,4632.0,3782.0,6034.0,29063.0,25321.0,15280.0,4023.0,4776.0,4964.0,4737.0,4834.0
tdh3_lge1,25885.0,27181.0,27598.0,9296.0,4942.0,4383.0,4328.0,6028.0,23755.0,33705.0,23327.0,7005.0,6774.0,6013.0,4886.0,5206.0
btt1_ies5,25430.0,19673.0,14245.0,8926.0,1053.0,635.0,928.0,1000.0,4298.0,3768.0,2209.0,649.0,885.0,802.0,811.0,838.0
tdh3_srb7,22282.0,24920.0,31253.0,17217.0,4335.0,2938.0,2986.0,3789.0,14474.0,27103.0,21558.0,9848.0,5633.0,3720.0,3221.0,3189.0
srb7_empty,21558.0,18899.0,12168.0,6295.0,2952.0,2945.0,1760.0,2960.0,43473.0,64301.0,28464.0,16276.0,5346.0,4673.0,2153.0,2387.0
tdh3_gapdh,20452.0,16917.0,16493.0,4911.0,2853.0,2464.0,2164.0,3058.0,19072.0,28300.0,13116.0,2643.0,3285.0,2799.0,2405.0,2657.0
gapdh_dpd4,18707.0,14165.0,11518.0,2907.0,2508.0,2250.0,1827.0,2866.0,16917.0,25680.0,8907.0,2452.0,2918.0,2366.0,1944.0,2236.0
dpd4_dpd4,18016.0,14921.0,15946.0,5639.0,2615.0,2483.0,2687.0,3532.0,16186.0,15198.0,11269.0,3379.0,3008.0,3033.0,2498.0,2696.0
tdh3_mig1,16727.0,11110.0,6679.0,1697.0,1691.0,1382.0,1259.0,1662.0,9687.0,10902.0,4536.0,1095.0,1622.0,1641.0,1363.0,1499.0
srb7_mig1,15082.0,9057.0,4935.0,1011.0,570.0,2204.0,556.0,795.0,6253.0,4963.0,1980.0,527.0,707.0,695.0,650.0,681.0
btt1_mig1,14651.0,9348.0,5971.0,2154.0,1593.0,1406.0,1513.0,2069.0,50730.0,43594.0,4536.0,1395.0,1904.0,2320.0,1690.0,1716.0
tdh3_hat1,14583.0,16805.0,22732.0,16771.0,3348.0,1614.0,1565.0,2359.0,7854.0,14171.0,12582.0,6737.0,4516.0,2454.0,2086.0,1977.0
med4_dpd4,14290.0,10426.0,11554.0,4989.0,2997.0,2818.0,2791.0,4076.0,13233.0,10020.0,6630.0,2520.0,3627.0,3530.0,3110.0,3532.0
vp16_dpd4,12883.0,10173.0,12285.0,6707.0,4996.0,6182.0,4764.0,6685.0,15775.0,12933.0,9888.0,4353.0,5933.0,6070.0,5257.0,5803.0
ada2_dpd4,12016.0,9232.0,10098.0,6340.0,1913.0,1521.0,1571.0,1995.0,11602.0,8067.0,4238.0,1290.0,1765.0,1782.0,1492.0,1652.0
tdh3_snf11,11999.0,10825.0,13070.0,21191.0,118296.0,173400.0,104706.0,146539.0,11420.0,11857.0,10177.0,15646.0,130954.0,226463.0,189730.0,92565.0
nut2_dpd4,11446.0,8568.0,8775.0,3106.0,2297.0,2245.0,2251.0,3365.0,10483.0,9234.0,5406.0,2135.0,2869.0,2925.0,2549.0,2797.0
tdh3_swc5,11166.0,11961.0,13952.0,16633.0,1000.0,733.0,669.0,902.0,3562.0,4584.0,3529.0,1354.0,1187.0,1162.0,766.0,782.0
tdh3_empty,11011.0,14099.0,21348.0,16826.0,4027.0,3400.0,2153.0,3097.0,11035.0,22313.0,22283.0,10675.0,5627.0,2997.0,2463.0,2565.0
snf11_mig1,10316.0,4101.0,2224.0,420.0,543.0,378.0,344.0,493.0,3406.0,1341.0,813.0,471.0,475.0,422.0,400.0,424.0
nut2_med7,10257.0,9408.0,11351.0,9150.0,10043.0,11494.0,9105.0,11481.0,9411.0,9440.0,11589.0,7517.0,15208.0,12111.0,8922.0,10007.0
tdh3_rpd3,9755.0,10724.0,11993.0,8480.0,1616.0,1228.0,1011.0,1444.0,6137.0,12893.0,10133.0,3080.0,1656.0,1614.0,1136.0,1260.0
rtt102_gapdh,9675.0,8642.0,9497.0,2450.0,1500.0,873.0,865.0,1287.0,7678.0,9119.0,5498.0,1004.0,1178.0,1117.0,1013.0,1120.0
rtt102_mig1,9085.0,5207.0,3339.0,991.0,446.0,425.0,410.0,618.0,5016.0,4458.0,2547.0,404.0,610.0,528.0,465.0,562.0
sir2_dpd4,8886.0,8914.0,10738.0,8361.0,2305.0,1578.0,2112.0,2445.0,6060.0,7062.0,4996.0,1720.0,2069.0,2031.0,1784.0,1900.0
hat2_hmt2,8762.0,7578.0,9470.0,7390.0,7454.0,6923.0,7226.0,10990.0,8430.0,8436.0,7235.0,6095.0,9359.0,9191.0,8211.0,9003.0
tdh3_hmt2,8597.0,8088.0,8454.0,2556.0,1118.0,1149.0,1043.0,1583.0,6938.0,12914.0,6987.0,1696.0,1473.0,1404.0,1214.0,1316.0
tdh3_hat2,8463.0,8542.0,8690.0,3381.0,2349.0,1867.0,1718.0,2612.0,8171.0,13313.0,9252.0,3069.0,3128.0,3013.0,2082.0,2186.0
tdh3_vp16,8406.0,8179.0,13366.0,22844.0,81224.0,185570.0,54294.0,56547.0,8372.0,8733.0,9826.0,19485.0,83801.0,190834.0,60784.0,30210.0
htl1_swc5,8393.0,7639.0,8613.0,6710.0,6609.0,6792.0,6322.0,9588.0,9036.0,8961.0,7651.0,5967.0,8149.0,8308.0,7123.0,8269.0
hos2_dpd4,8331.0,5346.0,5353.0,1295.0,689.0,555.0,570.0,886.0,5122.0,4152.0,2339.0,643.0,821.0,835.0,627.0,773.0
snf11_srb7,8319.0,6033.0,6595.0,4783.0,2420.0,2110.0,2035.0,2877.0,7440.0,5394.0,5782.0,3254.0,3353.0,2618.0,2296.0,2674.0
swc5_dpd4,8316.0,5791.0,4887.0,2266.0,1449.0,1510.0,1655.0,2050.0,6174.0,5590.0,3768.0,1330.0,1877.0,1980.0,1596.0,1825.0
rtt102_srb7,8185.0,9190.0,13941.0,7212.0,2483.0,1782.0,1549.0,2451.0,9858.0,12098.0,11152.0,3610.0,2975.0,2344.0,1744.0,2013.0
tdh3_pyk2,8061.0,7565.0,7133.0,1217.0,1022.0,706.0,721.0,1057.0,7904.0,13629.0,8417.0,1243.0,1538.0,1388.0,777.0,916.0
med7_dpd4,8050.0,6579.0,5243.0,1455.0,1004.0,1139.0,1047.0,1805.0,6142.0,5436.0,3208.0,898.0,1266.0,1159.0,1075.0,1217.0
