,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin7_rep1,bin8_rep1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2,bin7_rep2,bin8_rep2
med4_DAM,435670.0,259500.0,30998.0,6298.0,5537.0,4949.0,3499.0,3305.0,3818.0,2885.0,3498.0,5671.0,4682.0,14904.0,54596.0,4399.0
tdh3_esa1,105086.0,148085.0,68422.0,15211.0,3233.0,2375.0,1324.0,1077.0,2791.0,2713.0,2586.0,2727.0,1797.0,2310.0,1749.0,1830.0
tdh3_dpd4,97298.0,159974.0,85448.0,28268.0,12983.0,8770.0,6593.0,5955.0,154492.0,91681.0,48063.0,19311.0,11339.0,12582.0,9212.0,9055.0
tdh3_hos2,74821.0,69545.0,23251.0,6369.0,2280.0,1291.0,982.0,835.0,4693.0,3479.0,2947.0,2292.0,1378.0,1769.0,1308.0,1653.0
tdh3_srb7,21062.0,47921.0,33412.0,15294.0,5021.0,2736.0,1971.0,1787.0,29056.0,23209.0,20274.0,11311.0,3919.0,3685.0,2929.0,2762.0
tdh3_empty,20912.0,44426.0,29510.0,12055.0,4460.0,2308.0,1603.0,1477.0,31298.0,19887.0,14114.0,6438.0,2617.0,2867.0,2372.0,2282.0
tdh3_lge1,20270.0,41909.0,30630.0,14277.0,6961.0,4087.0,3102.0,2974.0,30802.0,22297.0,16945.0,8872.0,4961.0,6014.0,4553.0,4366.0
tdh3_gapdh,18988.0,35558.0,19922.0,7984.0,3806.0,2259.0,1731.0,1442.0,37658.0,27509.0,15407.0,7005.0,2738.0,3124.0,2372.0,2298.0
srb7_dpd4,17942.0,44101.0,27717.0,14976.0,7798.0,4734.0,3241.0,3001.0,24186.0,16065.0,17727.0,8944.0,6114.0,5552.0,4214.0,4240.0
tdh3_mig1,16737.0,21209.0,10093.0,2693.0,1685.0,1298.0,921.0,841.0,26672.0,13297.0,4806.0,2436.0,1282.0,1677.0,1283.0,1275.0
gapdh_dpd4,14660.0,23095.0,12309.0,4674.0,2780.0,1827.0,1441.0,1135.0,34787.0,19857.0,11736.0,3664.0,2327.0,2670.0,2072.0,2342.0
tdh3_hat2,14320.0,23563.0,19952.0,12140.0,3051.0,2038.0,1445.0,1232.0,10921.0,8153.0,6305.0,3848.0,2179.0,2528.0,2022.0,2074.0
btt1_dpd4,14182.0,33862.0,20084.0,11979.0,6826.0,4556.0,3016.0,2708.0,35523.0,28913.0,16160.0,8157.0,5685.0,5758.0,4075.0,4089.0
rtt102_dpd4,13431.0,33981.0,40841.0,26379.0,10312.0,4142.0,2658.0,2286.0,35527.0,50787.0,23900.0,17336.0,5915.0,5272.0,3745.0,3672.0
dpd4_dpd4,12807.0,25364.0,12880.0,6738.0,3374.0,2219.0,1645.0,1529.0,20155.0,12238.0,11352.0,6076.0,2691.0,3056.0,2413.0,2310.0
rtt102_hat2,11831.0,38985.0,93719.0,194016.0,77674.0,2513.0,1811.0,1526.0,2427.0,2105.0,4366.0,6705.0,4948.0,3180.0,2416.0,2582.0
tdh3_hat1,11356.0,21772.0,18292.0,9397.0,2876.0,1743.0,1247.0,1163.0,14000.0,10438.0,10674.0,5253.0,2929.0,2962.0,1880.0,1743.0
swc5_sus1,11073.0,32064.0,27619.0,67056.0,91219.0,207269.0,55218.0,1700.0,2598.0,2038.0,2545.0,3785.0,3132.0,3708.0,2770.0,2862.0
tdh3_snf11,10757.0,17158.0,39856.0,95674.0,108961.0,28614.0,9610.0,32213.0,9674.0,8557.0,30094.0,84039.0,108636.0,31067.0,11707.0,10527.0
tdh3_hmt2,9091.0,14991.0,10362.0,4630.0,1855.0,1218.0,831.0,741.0,15705.0,9708.0,7869.0,3073.0,1327.0,1554.0,1235.0,1125.0
tdh3_ies5,8916.0,13825.0,7679.0,3693.0,1834.0,827.0,614.0,569.0,23448.0,16385.0,7135.0,2835.0,1060.0,1217.0,974.0,926.0
dpd4_cac2,8681.0,10369.0,2909.0,566.0,353.0,252.0,185.0,173.0,1167.0,884.0,1160.0,524.0,334.0,394.0,276.0,235.0
hat2_hmt2,8665.0,11411.0,9040.0,10150.0,9172.0,7500.0,5783.0,4810.0,6972.0,5411.0,6288.0,10498.0,7425.0,10136.0,7658.0,8025.0
nut2_med7,8639.0,12063.0,9588.0,10660.0,10339.0,9693.0,6322.0,5835.0,7744.0,5557.0,6994.0,22802.0,119923.0,754930.0,621251.0,82333.0
tdh3_vp16,7696.0,12318.0,18147.0,39900.0,77157.0,60453.0,7208.0,12590.0,7103.0,6135.0,11992.0,30261.0,67252.0,68214.0,8663.0,7460.0
htl1_swc5,6953.0,9727.0,8228.0,9283.0,8184.0,6909.0,5412.0,4612.0,13837.0,55716.0,97229.0,717997.0,47723.0,11062.0,7651.0,7484.0
srb7_med4,6841.0,9467.0,8649.0,9493.0,13994.0,23528.0,8046.0,58104.0,6083.0,4705.0,5490.0,10018.0,19702.0,109041.0,150387.0,77916.0
tdh3_nut2,6702.0,16545.0,19386.0,11773.0,3773.0,1506.0,1083.0,964.0,14381.0,11807.0,13565.0,7899.0,2567.0,2160.0,1628.0,1526.0
tdh3_tdh3,6528.0,11970.0,7114.0,3127.0,1080.0,609.0,452.0,424.0,5513.0,4532.0,2836.0,1169.0,777.0,901.0,707.0,664.0
vp16_nhp6a,6280.0,9192.0,7197.0,7822.0,10133.0,109321.0,400267.0,351230.0,5534.0,4337.0,4924.0,8520.0,6044.0,8766.0,6937.0,9341.0
tdh3_sfh1,6274.0,13919.0,17861.0,16236.0,5464.0,1777.0,1283.0,1205.0,10572.0,8960.0,11183.0,7895.0,3411.0,2365.0,1833.0,1786.0
tdh3_med4,6242.0,12750.0,25324.0,54472.0,62395.0,10230.0,4080.0,4143.0,6730.0,6727.0,16677.0,42112.0,45569.0,11325.0,5232.0,5150.0
med4_dpd4,6104.0,9368.0,8127.0,12641.0,42666.0,46062.0,6033.0,2505.0,3009.0,2489.0,4101.0,10709.0,24215.0,23502.0,4034.0,3122.0
srb7_gapdh,5907.0,21918.0,10289.0,4401.0,3101.0,1988.0,1481.0,1330.0,42426.0,24820.0,6029.0,3959.0,2639.0,2873.0,2191.0,2086.0
tdh3_rpd3,5729.0,12280.0,12257.0,4151.0,1751.0,1129.0,767.0,696.0,7448.0,7032.0,6590.0,2721.0,1410.0,1562.0,1111.0,1080.0
btt1_mig1,5634.0,9286.0,5139.0,2162.0,1923.0,1466.0,1207.0,1004.0,10615.0,8053.0,4427.0,2354.0,1623.0,2005.0,1538.0,1531.0
gapdh_empty,5549.0,9583.0,6538.0,2882.0,1310.0,646.0,486.0,480.0,7080.0,4558.0,3407.0,1461.0,708.0,927.0,705.0,673.0
tdh3_pyk1,5399.0,10470.0,7161.0,2440.0,1167.0,734.0,530.0,522.0,8942.0,6201.0,4204.0,1654.0,821.0,1037.0,772.0,776.0
vp16_dpd4,5384.0,8754.0,6525.0,6567.0,6580.0,12641.0,16765.0,23409.0,4953.0,3480.0,4188.0,6632.0,5358.0,15590.0,15932.0,41146.0
tdh3_hhf2,5175.0,10202.0,9415.0,3065.0,636.0,312.0,278.0,204.0,6378.0,3447.0,2228.0,827.0,490.0,539.0,346.0,322.0
dpd4_hat2,5161.0,14163.0,9656.0,1572.0,783.0,783.0,3191.0,497.0,3961.0,2933.0,2555.0,1261.0,702.0,998.0,687.0,641.0
dpd4_hmt2,5127.0,8303.0,5181.0,1386.0,965.0,575.0,442.0,395.0,3984.0,2367.0,2887.0,1142.0,749.0,827.0,611.0,527.0
dpd4_lge1,4977.0,10934.0,5962.0,3336.0,1606.0,850.0,653.0,563.0,5741.0,3919.0,3703.0,2123.0,1332.0,1191.0,911.0,1019.0
sir2_dpd4,4965.0,8583.0,7726.0,7286.0,3504.0,1672.0,1195.0,1073.0,5837.0,4708.0,4871.0,3965.0,2473.0,2481.0,1757.0,1793.0
dpd4_srb7,4936.0,9082.0,5743.0,3142.0,1698.0,1153.0,863.0,804.0,5676.0,4164.0,5382.0,17126.0,1794.0,1759.0,1229.0,1093.0
srb7_mig1,4757.0,4819.0,2017.0,1030.0,841.0,548.0,439.0,350.0,3354.0,1773.0,1949.0,766.0,660.0,806.0,635.0,552.0
srb7_snf11,4711.0,6393.0,6607.0,6245.0,13188.0,19920.0,6764.0,18766.0,4101.0,3313.0,3713.0,6420.0,17522.0,33426.0,7645.0,5425.0
tdh3_bre2,4592.0,5001.0,4553.0,3224.0,1911.0,1481.0,1147.0,1058.0,5631.0,5089.0,4287.0,3004.0,1635.0,2101.0,1596.0,1597.0
tdh3_pyk2,4430.0,8204.0,7036.0,2851.0,1047.0,702.0,597.0,507.0,9962.0,7381.0,5969.0,2167.0,1076.0,1113.0,761.0,754.0
tdh3_eaf3,4347.0,10608.0,11997.0,6367.0,2550.0,1249.0,795.0,700.0,8731.0,6310.0,6593.0,4452.0,1546.0,1398.0,1114.0,1040.0
rtt102_lge1,4252.0,4853.0,11859.0,29866.0,14883.0,1557.0,1027.0,838.0,2921.0,2892.0,7922.0,13124.0,13298.0,2384.0,1574.0,1366.0
empty_dpd4,4252.0,8281.0,5203.0,3443.0,1927.0,1417.0,891.0,859.0,6811.0,2834.0,4724.0,2549.0,1879.0,1550.0,1105.0,1173.0
bre2_dpd4,4177.0,8191.0,3969.0,3271.0,1916.0,1411.0,1141.0,1021.0,4545.0,3247.0,3247.0,2301.0,1633.0,1823.0,1370.0,1419.0
tdh3_swc5,3909.0,9332.0,7400.0,2881.0,1260.0,703.0,494.0,429.0,3339.0,2617.0,1902.0,1167.0,757.0,889.0,726.0,718.0
nhp10_dpd4,3880.0,10369.0,7742.0,3929.0,1459.0,834.0,667.0,643.0,4136.0,3540.0,3816.0,2732.0,1264.0,1240.0,958.0,919.0
snf11_dpd4,3843.0,6314.0,8132.0,16804.0,27353.0,9302.0,2787.0,2351.0,12992.0,3585.0,7630.0,14041.0,29055.0,11713.0,4070.0,3825.0
tdh3_med7,3797.0,11809.0,23514.0,38344.0,15753.0,2827.0,2009.0,1927.0,5484.0,8016.0,24463.0,40043.0,14932.0,3800.0,2813.0,2777.0
med4_med4,3762.0,5369.0,4288.0,4951.0,5910.0,10426.0,6043.0,4003.0,3322.0,2418.0,2930.0,5007.0,5525.0,16374.0,7959.0,6182.0
tdh3_btt1,3758.0,6104.0,6914.0,2555.0,1016.0,656.0,486.0,548.0,7078.0,5700.0,4603.0,2053.0,914.0,921.0,729.0,613.0
rtt102_gapdh,3706.0,7140.0,6376.0,3909.0,1994.0,970.0,762.0,651.0,8009.0,3532.0,5256.0,3352.0,1367.0,1312.0,1029.0,961.0
gapdh_sfh1,3691.0,4844.0,5309.0,3814.0,1485.0,962.0,525.0,1032.0,7806.0,7892.0,4529.0,5397.0,1062.0,993.0,782.0,674.0
