,bin1_rep1,bin2_rep1,bin3_rep1,bin4_rep1,bin5_rep1,bin6_rep1,bin7_rep1,bin8_rep1,flow_seq_score_rep_1,bin1_rep2,bin2_rep2,bin3_rep2,bin4_rep2,bin5_rep2,bin6_rep2,bin7_rep2,bin8_rep2,flow_seq_score_rep_2
btt1_dpd4,0.30667134717532984,0.2596007621312176,0.21012570770146213,0.15038323154498015,0.05130821954183279,0.015481332991147461,0.0024593150747324005,0.003970083839297702,0.20802684180223274,0.2804147794858954,0.2695593844343292,0.20334404822022456,0.15249490657297288,0.06374521153357221,0.018585504278379232,0.006421701834408508,0.005434463640217972,0.22260171780112267
dpd4_dpd4,0.3573206274326398,0.3070640157191585,0.17397791525463713,0.10352447329620973,0.04022930690753997,0.010755173722263834,0.0018796703469279624,0.005248817320623172,0.1754723008120673,0.36927862739358014,0.2936980022260831,0.18792860196071084,0.08406068738108828,0.03560473761065397,0.016935240408003264,0.0057779982369402655,0.006716104782940261,0.17578759195366073
tdh3_dpd4,0.3092651766921118,0.3049078852175058,0.2086947048224227,0.10573405089409771,0.05247321171431443,0.01150639971670059,0.002148715187817897,0.005269855755029222,0.19381508205678813,0.3674188960397286,0.27825060305793264,0.200091190609981,0.10790022434803351,0.025448706393333232,0.011135415514033657,0.004160657184145523,0.005594306852811879,0.17481852164857897
srb7_dpd4,0.16363345082991168,0.18390079204883847,0.2476815640751525,0.24534253717746593,0.13376252548531506,0.01678562371855806,0.003079811982631601,0.005813694682126746,0.2990634981337526,0.1670181217654515,0.19668931357664823,0.23920501435316258,0.23275790050766776,0.12759507527564545,0.023213839069895412,0.007074169641366187,0.006446565810162834,0.2981990741110532
dpd4_med4,0.3537254413025504,0.2361905347108139,0.17724910361670393,0.14913301553393207,0.06040028866516799,0.015432564018403467,0.0020885785019549956,0.005780473650473312,0.20140664998053576,0.2737558687349264,0.24266368139625402,0.17837983298615737,0.17445466818555372,0.09096467473688084,0.025430667120348735,0.007473975031255025,0.006876631808623987,0.24382566561748498
tdh3_lge1,0.2980300422394151,0.2911610903515647,0.21780950461696338,0.1259338066595631,0.05077336694275544,0.009826391100477755,0.0018144560137053286,0.0046513420755551135,0.2000361533498156,0.3022628831069665,0.2874349833308256,0.21849564215287157,0.1256857849648637,0.030421867899804552,0.015027064507309534,0.007546279447548719,0.0131254945898098,0.20506607935441237
empty_dpd4,0.33988733588485615,0.24917145745879762,0.20856929371787752,0.14383270548860608,0.04085334830815848,0.011832629417913446,0.0016130476820244454,0.004240182041766127,0.19424918029529736,0.36339728554217304,0.26154358635731473,0.19743401619413317,0.11076641093610809,0.04308692564274148,0.013453874659388652,0.0040705239188783045,0.006247376749262608,0.18521181545427465
dpd4_lge1,0.39431763540086806,0.27213984660260365,0.16579711714364145,0.10928567660846236,0.03082010785023673,0.01851588200606918,0.002900716617477806,0.006223017770640691,0.172630910892274,0.39633437386339915,0.3024890546866929,0.1673208445230023,0.0812114776229314,0.029213309067123047,0.01428136212008357,0.004301446306474049,0.004848131810293496,0.16125297485447151
tdh3_srb7,0.3010926535228478,0.2982172899244069,0.22428268412811095,0.11124225745357416,0.045943679882388726,0.01298287354499901,0.0020803538760666815,0.00415820766760575,0.19582687067507737,0.3145082283498132,0.26972714649597196,0.21545894208506647,0.1440607810035324,0.033154882748972964,0.012403344260826213,0.004914484682389809,0.005772190373427037,0.19962226666929328
tdh3_empty,0.3137076117624913,0.2969640649159474,0.21786646565077863,0.11570681167421534,0.04241300817939669,0.00797851202294637,0.0015624326819386962,0.0038010931122856246,0.18933489599287154,0.3377017594879795,0.29494003256922535,0.20339512591945627,0.11647693551055004,0.028566842620506065,0.010492490115748748,0.003931982664552632,0.004494831111981429,0.18184951796739166
tdh3_med4,0.26854017489309684,0.2815339911342137,0.22032296991732583,0.13498960257447895,0.0655588574013019,0.01706427650775945,0.0038904183777587835,0.008099709194064678,0.22210657506590176,0.2985920324306798,0.2659481377196523,0.22010761119069025,0.14777760986798252,0.038619645177883785,0.014937172767410436,0.006251007542098291,0.007766783303602575,0.21007630894733934
tdh3_vp16,0.23725533172822977,0.2783282730171924,0.22446998528201784,0.152481996625983,0.086163811195863,0.012212342865810152,0.0028066607451344094,0.0062815985397696485,0.23589176383155336,0.2777887031117009,0.2356407274258594,0.22742147570903404,0.17829829731137004,0.05577919363446502,0.01288852152772766,0.005865902738399295,0.006317178541443725,0.2274790884535768
btt1_gapdh,0.25530831295382744,0.23313582019206938,0.22141626850844692,0.1934760065842269,0.07849254774298879,0.012929097337057162,0.0016452514898026474,0.003596695191580758,0.23858006141410942,0.24487232515204563,0.23894174173498628,0.22735873646714386,0.19004311892820752,0.0738232567450722,0.01683851412853141,0.004293101626742899,0.003829205217270233,0.24226245933688445
tdh3_gapdh,0.29821937004659854,0.2769021728054003,0.22303393648352715,0.12380566823854218,0.06225160623258519,0.009676868879285046,0.0016990658409520548,0.004411311473109544,0.20469305645318947,0.34725644891345786,0.25753326682962824,0.20911032679470506,0.13326289287843116,0.032939754405260764,0.011893729039324076,0.003629249168546771,0.004374331970646034,0.18845229723968546
dpd4_srb7,0.3619592216745005,0.2958100088612822,0.16833750134613612,0.11729709008867226,0.03202022675497518,0.013352698264638623,0.00330332755948376,0.007919925450311446,0.1792114462388211,0.3676474422629317,0.30961944120156515,0.17107177832800877,0.08560429768113316,0.0379257150068703,0.01621594503952462,0.005537509781013555,0.006377870698952731,0.17417551852926239
swc5_dpd4,0.3759653602993649,0.24693893878646858,0.20068564038910228,0.10806495834402191,0.04235509190483579,0.013615179809472938,0.002002686849360899,0.01037214361737264,0.18494606966874577,0.30947121058170035,0.3126030806477537,0.19712715775320752,0.1055686859060597,0.043404060197577754,0.019379662036504694,0.005908504316617354,0.006537638560578975,0.1964703572384199
dpd4_gapdh,0.3584027202994525,0.2929794870177028,0.19872816929010526,0.0992246653395694,0.031049861665558794,0.014237630337918647,0.001733875095721587,0.003643590953970985,0.17420082960293948,0.3193147244057611,0.3335775901498281,0.17001247565999605,0.10471578684769159,0.04240421241120307,0.019046612828608672,0.004780140683194007,0.006148457013717366,0.1891885512851337
dpd4_sfh1,0.31054356116420356,0.2810862319669257,0.19923326535733568,0.1263050969767737,0.060565533159789235,0.014343269601926861,0.003354729800372405,0.004568311972672969,0.20350758526737922,0.3312856501778195,0.24760140675272704,0.21321661421035168,0.12928530624577375,0.04545975623266641,0.021313942042846215,0.006145644196632673,0.0056916801411826924,0.20385927360338899
dpd4_empty,0.3605269162685034,0.2835581210842539,0.17227644017562438,0.11510107321236099,0.042664852277679244,0.017551284876568197,0.0028328653662327646,0.005488446738777024,0.18389233913356845,0.35942095457922574,0.3068005423469023,0.18855173810540315,0.09053105129978864,0.03045463957448763,0.011601971183204347,0.006593351352952285,0.006045751558035836,0.17388656509928732
btt1_lge1,0.24097015084940332,0.2092546565221765,0.23356260132973075,0.21351707070499285,0.07815522069111545,0.013457983848945903,0.004812166049831887,0.0062701500038033365,0.2528008456616318,0.22141410225020394,0.20295780631029361,0.23622853522217152,0.20354937969534326,0.10464625154624406,0.018843213771455525,0.005968971708750954,0.006391739495537143,0.2684885853720265
tdh3_med7,0.2628220353690034,0.3006465397158523,0.23465741165078577,0.12790901624289303,0.06013922099871805,0.008358584253471132,0.0015722881299309825,0.0038949036393454164,0.21039089589476206,0.30056727442359205,0.25055642432049813,0.23576698231335627,0.1584852106613874,0.03571522319157889,0.010276151365548375,0.003962719776987692,0.004670013947051191,0.2068934409738164
btt1_srb7,0.20815709915954417,0.18222053969930088,0.23698862377854474,0.22671784618961488,0.11086281288089354,0.02401015500313412,0.004055674808640793,0.0069872484803269255,0.28187116293980186,0.17600093649073953,0.1965927760562859,0.22148288600506288,0.21876172551466072,0.1359352491386794,0.034778899611461134,0.009994103962824139,0.006453423220286289,0.3026596865059094
bre2_dpd4,0.2900237065078586,0.23395484702760272,0.21997002121953374,0.16346788406730706,0.0616679789969925,0.02292480518082066,0.0017743658080549534,0.006216391191829845,0.22567934525025757,0.27273494203728244,0.25796905776131396,0.2129325445457544,0.14600170700562998,0.07819306297522165,0.017829974579533687,0.007705399201151613,0.0066333118941122845,0.23091813873342332
dpd4_hat1,0.3654284573004558,0.28685039681387947,0.1820683195360046,0.11136793613936449,0.03747899351367149,0.009965561239795117,0.002183391467417247,0.004656943989411763,0.17579051161257564,0.34970530859074256,0.2987563297999426,0.19306367677606354,0.09604611029364923,0.03556030360966401,0.016690230770315465,0.004434953563852889,0.005743086595769663,0.18078938715382226
tdh3_hat1,0.23000559694254397,0.3038031404663825,0.23376117811992356,0.1351273867571936,0.06894947877761189,0.021301024350541896,0.002780449690591862,0.004271744895210831,0.2293708008929992,0.2934756066260986,0.26076825190291586,0.23315988677218685,0.1507073480266419,0.03941471749522914,0.013061844102109886,0.004126141164152972,0.005286203910664833,0.20913406205403615
rtt102_dpd4,0.11717779981643792,0.15178699514991764,0.21525310289724464,0.23892957456066585,0.252070788633696,0.018357156573547823,0.0024154235595850353,0.004009158808905047,0.34881535929268187,0.13250973975219732,0.15398254443971449,0.23995999884395303,0.2629026948994286,0.18572157017931948,0.016748569686034647,0.004278171191930197,0.0038967110074222965,0.32888368002527063
dpd4_med7,0.3763973425298226,0.255565276190561,0.16945687580833632,0.13076457841151812,0.04274788099169996,0.015457447174706916,0.0038670122028624182,0.005743586690492585,0.18549410041896355,0.3380754144524706,0.2721001021495203,0.20600087314496632,0.11780068799894877,0.044702263273537116,0.012439099119428943,0.004640949653128674,0.004240610207999334,0.19086263292890857
tdh3_rpd3,0.27022361728852307,0.28323675519582614,0.2448729092185765,0.1309013336927532,0.05808898121344707,0.007410836827509442,0.0014673357689550983,0.0037982307944094637,0.21006975912531015,0.28255428402561844,0.2555572848221344,0.25248136316744246,0.1548497589246906,0.03650551778000758,0.009768751859989875,0.004091670954661539,0.004191368465454911,0.2105463890481749
btt1_empty,0.21585220448545986,0.2114822525746915,0.24200417233853616,0.21783673651363147,0.08649473999431602,0.02036077616029326,0.0020448443067778107,0.003924273626293928,0.26236037554230185,0.2082037736207483,0.2257443944771634,0.2247082462543283,0.19451332121153161,0.11150315282610154,0.02383450832206234,0.005328050189729424,0.006164553098335143,0.27128659662312216
btt1_ies5,0.25042296752042426,0.2824253840799383,0.21266311513571845,0.1820288942721836,0.059225997084208365,0.009010619677232603,0.0018328366256038346,0.0023901856046905628,0.22336052898248276,0.2850523455708994,0.2666875614426607,0.21976450194564856,0.14279738954552706,0.05972977360795128,0.018651685026497663,0.0030861500941952043,0.004230592766620098,0.21641675763804918
btt1_mig1,0.3747137100481132,0.281397606258219,0.19472701871104936,0.09186174487509936,0.03819708354952495,0.01397808885759114,0.0014222843059634046,0.003702463394439681,0.17193808662693283,0.37252546749309173,0.3090238971039309,0.18455186693973785,0.07588096028984496,0.03393131065797712,0.012382750083551549,0.005605805220786802,0.0060979422110791605,0.1685328473864118
dpd4_swc5,0.40921572037567694,0.2568006722094267,0.1678007776245997,0.10484323140347859,0.04095640866604998,0.013130142004454002,0.0021252446122395053,0.005127803104074551,0.16929347939392722,0.415044967366879,0.2808884876157916,0.17642056686679072,0.08215522216438902,0.023399851702968554,0.013443034268858711,0.003535801858610851,0.005112068155711513,0.1568584506057648
tdh3_hmt2,0.28937501104268876,0.2896044961157274,0.20323025014251908,0.13475748233848708,0.06617115288446171,0.010559918114709192,0.0017507948594865238,0.004550894501920152,0.20859752517113994,0.2891110457231996,0.28931276253172267,0.20558030330418733,0.15674599014704335,0.037021796846509566,0.013101416054716592,0.004003216040987162,0.0051234693516338395,0.20631274127831548
dpd4_hmt2,0.31197859716789544,0.3089651909348827,0.20868849199552947,0.11023676810070246,0.043355921841041846,0.00992037545444078,0.0021179359426722,0.004736718562834993,0.1894203842086141,0.3742773033688594,0.2835883983701506,0.19076623421901243,0.10143748943868298,0.03178324729521792,0.011143739880562333,0.00297800284035656,0.004025584587157701,0.1711903046943073
tdh3_hat2,0.2956439256922841,0.27610983527503963,0.23413154690296523,0.12812156312377718,0.049720962849981364,0.00998050387740288,0.001853906076204101,0.004437756202345704,0.20281595987326947,0.3163091168512632,0.27501160425990123,0.21971421327262858,0.1378044283084373,0.03275724581299021,0.009693293569577318,0.004421688594803465,0.004288409330398617,0.1948425376731327
btt1_hat1,0.21308595957638923,0.20473987644485078,0.22158046043602195,0.22550717153536443,0.10496370633368918,0.018839425131716103,0.003672662538764587,0.007610738003203642,0.27339791488161974,0.17712249910270064,0.23635561355308626,0.22093845153668212,0.20791690853758363,0.12844187076005018,0.01576669009923016,0.0075583929465847,0.005899573464082242,0.28303307824337665
dpd4_hat2,0.3744734758058244,0.2981645400503495,0.16771350792727574,0.09941988737558127,0.03511057296448754,0.016903852874137548,0.002252521440965337,0.005961641561378597,0.1731513419765321,0.3669758411354877,0.26702271781193243,0.20517557139964943,0.1048278680097304,0.035940893662136424,0.011474902476626648,0.003967778028271186,0.004614427476165708,0.17844331602498403
gapdh_dpd4,0.3409889323862139,0.30202500995343706,0.18064724543790314,0.09510879201475746,0.05666116203397799,0.015032262751511948,0.002993963913490368,0.0065426315087079925,0.18774486325841222,0.3524461789754895,0.30066090011696794,0.19933856026075175,0.09794178715446861,0.027250547058158874,0.01269398262651663,0.004322463427011957,0.005345580380634715,0.17556990381337292
dpd4_ies5,0.39638598072952697,0.286103707431699,0.1824009497749473,0.09953926698341141,0.01938378857166748,0.008861740854158496,0.0017539739984746639,0.005570591656114602,0.1601264645818486,0.433651176669863,0.2646446965436161,0.16475878279194484,0.09173866699266676,0.02758679816691995,0.009779181405441486,0.0034346111851315075,0.004406086244416308,0.15429594766029947
htl1_dpd4,0.16416385185440144,0.19051110386106196,0.24150760810170177,0.23262377404555654,0.14653731457164065,0.0179851677889528,0.0026440138971861875,0.004027165879498779,0.2987895691388671,0.14051588298672407,0.1967086849724815,0.25684636888971574,0.2326547492209316,0.1471089279180115,0.01802037061171377,0.003953803965639024,0.004191211434782759,0.30570921985466226
tdh3_sus1,0.279520125245844,0.2833896146395029,0.2191666829623896,0.13477921840292603,0.0659356895880737,0.011190173230303028,0.0017911868258745458,0.0042273091050860955,0.21229893499538857,0.29486961472720935,0.27326229991385725,0.2195204966684863,0.14249992287414806,0.049069784505658125,0.011883810207235368,0.004315704714649117,0.004578366388756533,0.20763486342018198
dpd4_rpd3,0.33648576667662383,0.2777991751507371,0.19959995214678974,0.11741070249180303,0.05030653880981952,0.010824696610256443,0.002275949546485481,0.005297218567484886,0.19075957892308473,0.3327535010483992,0.27621329602367456,0.20715287930326576,0.09710077623542798,0.051560779169463306,0.02313768185352664,0.005672835875087185,0.0064082504911553775,0.197521096852941
tdh3_sfh1,0.24756751341552516,0.27517654083218845,0.2440177220813883,0.13482334966312537,0.07750374033376031,0.013497544007380602,0.0026613350935315422,0.004752254573100379,0.22777407256131102,0.25530262146062344,0.27041384800365464,0.25000770621825524,0.16117916677008182,0.03939856178572339,0.01337487183727633,0.00410305764800458,0.006220166276380621,0.22094212527176818
srb7_ies5,0.19252596690173993,0.17900451865739048,0.23868770593908942,0.2240118012760458,0.11819821643947871,0.03270614539410151,0.0066422425595260015,0.008223402832628207,0.29459374318252607,0.2113786794604579,0.20153116869936197,0.21196333084097765,0.20854892924463578,0.09305784141869783,0.04019802037518518,0.015075096819883591,0.018246933140800004,0.2917864569386919
sir2_dpd4,0.29890300003963627,0.2852096965443677,0.20883088205518174,0.13786417436865758,0.042262206879236215,0.014466193123205146,0.003235530144559907,0.009228316845155455,0.20597931081101745,0.2959954862229045,0.30241400907288807,0.22149249990541672,0.11665002904899863,0.03485394767966809,0.015639815400726374,0.005567073757888122,0.0073871389115095455,0.1997251969544167
tdh3_nut2,0.276113648771992,0.28649394124714833,0.2242833262879264,0.13001400572698482,0.06687980960460853,0.009517605222457324,0.0018878939590894939,0.004809769179792984,0.21217223193539486,0.35588225630672415,0.24219369698568882,0.20925279500483918,0.1393099999782407,0.034120149015548516,0.011550035637572969,0.003947971301545053,0.0037430957698405933,0.18896422276832892
hmt2_dpd4,0.34828070988711957,0.27666077623774676,0.19758291894624488,0.12325883605634656,0.04036055068535231,0.008397503349664007,0.0015082439674433549,0.003950460870082477,0.18310507595489187,0.30136899955229485,0.29999175989353377,0.20603024500734118,0.14250715964090524,0.02610240622999441,0.014308736103455757,0.004176162365404281,0.005514531207070542,0.19702653241572968
srb7_mig1,0.3487989111563258,0.2732273204125531,0.2134442802018365,0.10887654298291606,0.03797398138038199,0.0098309290047714,0.0035072482075693924,0.004340786653645787,0.182746439447328,0.3762786423613006,0.2946856253303068,0.18896059654046315,0.0700250533716303,0.039043111778641275,0.015470959874745093,0.007882652787250593,0.007653357955662196,0.1738683782039362
nhp10_dpd4,0.1846408026239797,0.2691307614778776,0.28811620839717084,0.18234933046895593,0.0577825390982153,0.010322187835671003,0.0022756685712329336,0.005382501526896756,0.24664054105228259,0.2193832673538428,0.2581500830213245,0.26390280652268816,0.17040636907780776,0.0585558564464481,0.017521673283791048,0.006268929060993129,0.005811015233104582,0.2424710395003661
cac2_dpd4,0.24741572369306658,0.23923740759832304,0.1900131204285164,0.16563074103006978,0.1027216466624816,0.03586498213235619,0.0029714063678217416,0.01614497208736467,0.26245865881082225,0.2769563895051201,0.24621432424074732,0.19862110901940674,0.14875211706039698,0.07133872975625481,0.04733141212326464,0.0040053944948602,0.006780523799949287,0.24046012952441434
tdh3_snf11,0.12865202422954786,0.23784511138847556,0.2836648226418935,0.21268026845045976,0.1193034942391776,0.011105934771046095,0.002104805372003022,0.004643538907396587,0.28872754534562534,0.16857972070659208,0.22377407265731267,0.2717013786521146,0.23323428873913146,0.08095956755479292,0.012412591609233699,0.004134888521125008,0.005203491559697555,0.27343067092698703
tdh3_rtt102,0.3076781223969281,0.2900566495197525,0.20571571821620116,0.1226099978923088,0.06052058383217464,0.008482807149387317,0.0014023993515160582,0.0035337216417313543,0.19813784261513315,0.32788567820517517,0.26950030397729563,0.2019609277217705,0.12770885397861326,0.041458757811880055,0.0142685815617637,0.007244258996578808,0.009972637746922867,0.2010000969458497
dpd4_vp16,0.21754070017357327,0.18811946489124654,0.1464374495648004,0.17065174563124463,0.17283909190906513,0.08412307253873176,0.009902241976090177,0.01038623331524821,0.31957691661539694,0.18188472016293533,0.1388500629524576,0.1288521037071855,0.16577623443690134,0.2503137642100759,0.10926895979575338,0.015458150311282956,0.009596004423408055,0.37162910890402245
tdh3_btt1,0.29953118948683344,0.2873130828902867,0.23478985289578497,0.1164118679039917,0.04862044915507476,0.007762486518671464,0.001538626641011639,0.004032444508345398,0.19669735614456793,0.35145080958209857,0.25211713237430733,0.19637700074512468,0.13421699329233294,0.03727399107067713,0.014578808437633308,0.006830011194955686,0.007155253302870246,0.19436842292889378
btt1_hat2,0.22139032243713602,0.209995347474073,0.24147919309123228,0.20691559300643445,0.09078107894786097,0.020497933716109827,0.002361012886466871,0.006579518440686517,0.26279102906449153,0.20986988790349734,0.22370715352546522,0.23047020825435488,0.2016526038705127,0.10058781189173167,0.023639470522915748,0.006155492190198123,0.0039173718413243125,0.26778693397966813
spp1_dpd4,0.3205515041178184,0.283069521340551,0.2210397176605015,0.11900646067970319,0.0343960706665104,0.01253781578997686,0.0021877276860031536,0.007211182058935512,0.19229233440645097,0.31860621557046087,0.27720272748505265,0.21466242899341045,0.117264431929561,0.0396563574757565,0.013527296839060331,0.006533894351977957,0.012546647354720298,0.20165895613625628
empty_lge1,0.304377181993984,0.2340773923343211,0.21668525791918983,0.16547126457122624,0.05215720028117226,0.01614104469083875,0.0027414898511499354,0.00834916835811781,0.21829840629699807,0.27748200435858256,0.2611799632820097,0.22565952229305467,0.13293890704067912,0.05478910396940157,0.028063215627441185,0.010759886377225069,0.00912739705160618,0.22846276008993746
cac2_lge1,0.27020421334178446,0.2421755123189197,0.2325017921589465,0.17795806939061093,0.06062232145905313,0.008919706768245316,0.0021525160980227663,0.005465868464417163,0.2256167571893059,0.23045393039846013,0.2398820430657603,0.2313313422007562,0.17858150667978778,0.07460964962108459,0.027435095272773186,0.010983554252483346,0.006722878508894464,0.2552663996331431
dpd4_nut2,0.3729936900265021,0.26202883053254095,0.17874844970376166,0.1284925720252864,0.03486709750765432,0.01567897359867076,0.002044632461245187,0.005145754144338529,0.18159353968824787,0.37198798855801785,0.2994756159400133,0.17982671289794247,0.09261041725024284,0.0370136354051802,0.010625304907930773,0.003965296000119331,0.00449502904055323,0.17048547699022715
med7_dpd4,0.16430711714770557,0.1815820769073804,0.2564645416159569,0.25708011454415425,0.11777243233300434,0.014818301150836176,0.0024524979090273465,0.005522918391935073,0.2949011650079521,0.1949515788485839,0.1838331970942431,0.24434753125924932,0.21889035779681942,0.12329799462574578,0.022051378053189408,0.007695110306109988,0.0049328520160590705,0.28762126110302905
dpd4_pyk2,0.3475723482005025,0.2628233988879626,0.1898410366972176,0.12998971630029474,0.04935235325056281,0.01331260371107645,0.002059437849503772,0.005049105102879602,0.19202105936544214,0.3557934678670285,0.2843785865011356,0.19835650599732838,0.10301590232865604,0.03993908866480269,0.010484835241641758,0.003615330349016287,0.004416283050390827,0.17927511425657336
dpd4_eaf3,0.3119443150897484,0.2807440991312664,0.18936294871755463,0.14712137138068762,0.04775397396133247,0.01557532661214237,0.0020066408565325715,0.005491324250735433,0.20288653635840337,0.3649256440064507,0.2571008745024401,0.18059263087926644,0.12573172430009993,0.046497022514084566,0.013544258293444134,0.005085771447779007,0.006522074056435085,0.18933711968093594
dpd4_sus1,0.3621641870920043,0.2530160454065134,0.18862221345120114,0.11621632917227581,0.055943753185997945,0.015550389589757945,0.0023180159897380607,0.006169066112511387,0.19107542560636184,0.3365026177445542,0.2533388653627083,0.19118688905136091,0.13550835058671637,0.0476681178218039,0.01824358441065618,0.007366442953905371,0.010185132068294769,0.20566038153822444
srb7_gapdh,0.11561398726359011,0.18643272490565213,0.23644016985111097,0.29138155114483116,0.13983191495753125,0.020390121551422724,0.0040091539529995375,0.005900376372862145,0.32287050627966263,0.12437321539064379,0.189200491800957,0.24552805594932642,0.25456307377953646,0.14560150322815418,0.027138823998274973,0.006498703232635934,0.007096132620471156,0.32153015795447487
tdh3_pyk2,0.2512705327119115,0.2906265378179996,0.22331156833936391,0.137886739073602,0.07487551984897474,0.013204788607221428,0.0033151909827801988,0.00550912261814658,0.22498441691046378,0.3082715664400829,0.2695896572506737,0.21467881907296138,0.14492066806285608,0.04253151141149186,0.01264690446390434,0.0032061962396148537,0.004154677058414853,0.20219854062817813
