,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,flow_seq_score
btt1_dpd4,0.29354306333061264,0.2645800732827734,0.20673487796084333,0.15143906905897653,0.0575267155377025,0.017033418634763348,0.004440508454570454,0.004702273739757837,0.21531427980167772
dpd4_dpd4,0.36329962741310995,0.30038100897262077,0.18095325860767397,0.09379258033864901,0.03791702225909697,0.01384520706513355,0.0038288342919341137,0.005982461051781716,0.175629946382864
tdh3_dpd4,0.3383420363659202,0.2915792441377192,0.20439294771620187,0.10681713762106562,0.03896095905382383,0.011320907615367123,0.0031546861859817095,0.00543208130392055,0.18431680185268354
srb7_dpd4,0.16532578629768158,0.19029505281274336,0.24344328921415753,0.23905021884256686,0.13067880038048024,0.019999731394226734,0.005076990811998894,0.00613013024614479,0.29863128612240286
dpd4_med4,0.3137406550187384,0.23942710805353395,0.17781446830143063,0.16179384185974288,0.07568248170102441,0.020431615569376102,0.0047812767666050105,0.006328552729548649,0.22261615779901034
tdh3_lge1,0.3001464626731908,0.28929803684119515,0.21815257338491748,0.1258097958122134,0.04059761742127999,0.012426727803893645,0.004680367730627024,0.008888418332682457,0.20255111635211398
empty_dpd4,0.3516423107135145,0.25535752190805616,0.20300165495600536,0.12729955821235708,0.04197013697544998,0.012643252038651048,0.0028417858004513748,0.005243779395514367,0.18973049787478602
dpd4_lge1,0.39532600463213363,0.2873144506446483,0.16655898083332188,0.09524857711569688,0.03001670845867989,0.016398622063076376,0.003601081461975927,0.005535574790467093,0.16694194287337277
tdh3_srb7,0.3078004409363305,0.2839722182101895,0.21987081310658868,0.12765151922855328,0.03954928131568085,0.01269310890291261,0.0034974192792282454,0.004965199020516393,0.1977245686721853
tdh3_empty,0.32570468562523536,0.29595204874258635,0.21063079578511745,0.11609187359238271,0.035489925399951376,0.009235501069347559,0.0027472076732456643,0.004147962112133527,0.18559220698013162
tdh3_med4,0.2835661036618883,0.273741064426933,0.22021529055400807,0.14138360622123075,0.05208925128959284,0.016000724637584944,0.0050707129599285375,0.007933246248833625,0.21609144200662056
tdh3_vp16,0.25752201741996533,0.25698450022152586,0.22594573049552594,0.16539014696867654,0.070971502415164,0.012550432196768907,0.004336281741766852,0.006299388540606687,0.2316854261425651
btt1_gapdh,0.25009031905293655,0.23603878096352782,0.22438750248779538,0.1917595627562172,0.07615790224403049,0.014883805732794287,0.0029691765582727735,0.003712950204425495,0.24042126037549694
tdh3_gapdh,0.3227379094800282,0.2672177198175143,0.2160721316391161,0.12853428055848667,0.04759568031892297,0.010785298959304562,0.0026641575047494127,0.004392821721877789,0.19657267684643748
